Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,46,4.163712,5.5856, ,true,49,2.191608,3.0598, ,true,62,4.099312,52.7167, ,true,44,5.453744,560.2472, ,true,56,4.944064,119.7401, ,
true,52,2.78604,0.6319, ,true,56,2.844704,0.8199, ,true,64,5.878096,43.4329, ,false,-1,4.009848,23.6353, ,false,-1,3.984656,15.5721, ,
true,39,2.781704,0.6192, ,true,47,2.830368,1.9601, ,true,59,5.154808,32.3786, ,false,-1,3.883016,21.5816, ,false,-1,3.870936,11.7337, ,
true,47,2.77636,0.8542, ,true,52,2.8562,0.8007, ,true,69,5.340312,39.5682, ,true,51,4.203688,43.8159, ,true,65,4.613992,64.6601, ,
true,53,2.78764,0.6806, ,true,54,2.834488,1.1784, ,true,66,3.88508,6.8019, ,false,-1,4.173232,10.0343, ,false,-1,4.166656,14.0007, ,
