CSP Algorithm,,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, , Start, Modelled, Solved, Decoded,
true,58,12.04556,214.5068,1, ,31.0921,225.553,237.9302,241.102,
true,40,36.560808,148.9673,2, ,265.2389,344.1389,413.1262,413.9996,
true,33,45.87436,99.1593,3, ,430.8828,469.776,529.3179,529.9235,
true,60,38.899952,118.3661,4, ,549.9242,587.5575,667.129,668.1028,
true,42,40.142056,169.4614,5, ,683.1729,730.6097,852.2312,852.528,
true,63,15.100376,132.2176,6, ,863.0061,906.0375,994.7933,995.1237,
true,59,36.610144,217.2269,7, ,1004.9288,1045.6278,1221.7562,1222.0665,
false,-1,39.500808,65.1377,8, ,1230.614,1294.5393,1295.5924,1295.7224,
false,-1,36.299496,40.5408,9, ,1303.0626,1342.3472,1343.4637,1343.5712,
true,35,31.944992,217.7126,10, ,1353.748,1388.9552,1570.9617,1571.3371,
true,61,36.29712,309.8426,11, ,1580.597,1614.3024,1890.0379,1890.3592,
true,42,33.537912,231.3548,12, ,1897.6189,1928.1926,2128.4966,2128.8929,
true,35,31.416168,348.6293,13, ,2137.204,2172.4197,2485.483,2485.7619,
false,-1,16.439832,23.3122,14, ,2491.8174,2514.2797,2515.0431,2515.1054,
false,-1,16.409776,20.5665,15, ,2521.8586,2541.2485,2542.3023,2542.3893,
true,32,29.689664,419.0872,16, ,2549.4028,2580.468,2968.1918,2968.4101,
true,39,29.800944,720.3657,17, ,2976.44,3014.8652,3696.3541,3696.7124,
false,-1,33.520568,41.2031,18, ,3704.8754,3743.8539,3745.9162,3746.0068,
false,-1,16.410624,31.6229,19, ,3754.5248,3785.2393,3786.0205,3786.1091,
true,46,31.060112,629.1862,20, ,3793.7034,3827.9787,4422.5215,4422.8135,
false,-1,26.834376,40.7835,21, ,4431.1569,4470.1355,4471.7753,4471.8794,
false,-1,31.44456,32.0926,22, ,4478.6325,4509.9842,4510.6001,4510.6487,
false,-1,29.103992,31.1758,23, ,4517.4456,4546.6509,4548.4356,4548.5733,
true,57,28.816464,858.967,24, ,4557.75,4590.551,5416.3729,5416.6163,
true,59,34.920984,571.2357,25, ,5424.1838,5451.2311,5995.018,5995.3058,
true,41,26.276832,985.3121,26, ,6002.7245,6034.6583,6987.7588,6987.9556,
false,-1,32.578592,41.9192,27, ,6995.0117,7035.7533,7036.806,7036.9025,
false,-1,29.677624,36.82,28, ,7043.7844,7078.535,7080.4663,7080.5383,
true,62,25.951064,974.6814,29, ,7087.7986,7118.7893,8062.1585,8062.4072,
true,34,28.042384,1011.0547,30, ,8070.9666,8109.4974,9081.5437,9081.8187,
true,62,27.447496,1427.8707,31, ,9089.258,9124.182,10516.6484,10517.0234,
true,59,21.802504,1564.7481,32, ,10525.3259,10558.9518,12089.7585,12089.9522,
false,-1,16.996456,65.0798,33, ,12099.1445,12163.062,12164.0849,12164.1375,
false,-1,18.924,53.1849,34, ,12172.1082,12224.2169,12225.1328,12225.1932,
true,41,21.052424,1221.0697,35, ,12244.9589,12316.9327,13465.3257,13465.6849,
false,-1,34.484216,42.9218,36, ,13474.1522,13516.2247,13516.9358,13516.9965,
false,-1,18.373248,33.4982,37, ,13523.3611,13556.1383,13556.7196,13556.782,
false,-1,31.985608,44.2124,38, ,13564.2211,13607.2472,13608.2585,13608.3431,
false,-1,31.129568,50.2435,39, ,13616.9173,13666.3521,13667.0267,13667.0945,
true,61,30.1578,1628.4589,40, ,13677.7658,13719.1648,15305.9041,15306.1222,
false,-1,19.531496,34.9892,41, ,15313.8955,15347.7692,15348.7058,15348.774,
true,64,31.702376,2070.8198,42, ,15356.4147,15398.8768,17426.8858,17427.0929,
true,33,32.323248,1746.6588,43, ,17434.5865,17482.8051,19180.9199,19181.1495,
false,-1,19.130272,49.104,44, ,19188.1571,19236.0908,19237.1448,19237.1866,
true,38,29.725336,2743.7245,45, ,19244.7312,19285.9511,21987.948,21988.241,
false,-1,20.156664,47.9468,46, ,21996.0356,22042.8557,22043.8677,22043.914,
false,-1,29.841512,42.7642,47, ,22052.1425,22093.9869,22094.768,22094.7971,
true,40,31.854264,2593.6902,48, ,22101.781,22144.2826,24695.1167,24695.3443,
false,-1,29.598536,63.4086,49, ,24703.4591,24765.6795,24766.7666,24766.8016,
false,-1,33.598744,53.7009,50, ,24775.1865,24827.9235,24828.7581,24828.7974,

,,,,,,,43.913996,442.836212,0.276614,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:50  Individuals:25 (Ignore for the specified parameter).
