CSP Algorithm,,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, , Start, Modelled, Solved, Decoded,
false,-1,26.2144,502.531601,4, ,34.0628,521.9272,530.296899,530.6452,
true,59,24.553496,3674.3343,5, ,544.1933,655.8337,4216.9947,4217.8421,
true,33,24.616792,3067.581801,6, ,4234.172199,4304.9186,7301.2144,7301.6714,
false,-1,17.410568,47.150099,7, ,7313.1235,7359.2639,7360.1392,7360.2453,
true,34,29.06716,3179.359201,8, ,7368.2229,7417.9739,10547.1603,10547.4675,
false,-1,18.157344,52.6569,9, ,10560.067799,10611.096399,10612.3001,10612.3781,
true,36,37.451264,2284.4694,10, ,10620.9721,10667.7883,12905.0623,12905.3204,
true,41,31.472496,2646.259001,11, ,12917.1173,12966.939,15563.0291,15563.2854,
true,40,24.580496,2758.769699,12, ,15573.8585,15632.1167,18332.2404,18332.498,
true,40,28.438248,2321.3106,13, ,18343.509,18398.1873,20664.4583,20664.6355,
true,43,44.960416,3235.0297,14, ,20676.8353,20728.774499,23911.472299,23911.734599,
true,60,25.5188,2865.646099,15, ,23924.4404,23990.3815,26789.6288,26789.8416,
false,-1,19.827336,60.1027,16, ,26798.9899,26850.653,26858.943899,26859.0424,
true,35,31.241712,2683.309,17, ,26868.011399,26933.5081,29550.9354,29551.1159,
false,-1,27.127312,68.827301,18, ,29560.0091,29627.4748,29628.6744,29628.7813,
true,61,29.104624,3027.2476,19, ,29638.0009,29701.715899,32664.975999,32665.146299,
true,40,26.048792,2916.1442,20, ,32673.6948,32732.2969,35589.4549,35589.677,
false,-1,20.696992,55.4535,21, ,35599.1304,35653.1327,35654.3991,35654.4968,
false,-1,26.132216,65.1322,22, ,35662.8387,35726.790699,35727.7068,35727.811399,
true,40,25.905448,2947.8154,23, ,35736.457,35786.948999,38683.4954,38684.0283,
true,39,27.051504,3151.7292,24, ,38692.3951,38742.4056,41843.8277,41844.0196,
false,-1,21.914424,70.1983,25, ,41852.872999,41921.5698,41922.9221,41922.9942,
true,60,26.905984,3120.694999,26, ,41931.3661,41992.211399,45051.6764,45051.930999,
true,59,28.231608,3163.431899,27, ,45060.455,45120.897,48223.575,48223.793899,
false,-1,21.588408,57.4687,28, ,48233.300699,48289.4296,48290.4736,48290.559799,
false,-1,20.618696,48.8574,29, ,48298.739299,48346.1662,48347.401199,48347.5274,
false,-1,21.411272,41.824199,30, ,48356.2755,48396.3941,48397.9809,48398.0492,
true,37,30.006992,2548.783,31, ,48405.7927,48463.7701,50954.2774,50954.4559,
true,61,28.611288,2542.7613,32, ,50965.351699,51027.1766,53507.6453,53507.901999,
true,36,26.57432,1996.7522,33, ,53517.891,53571.0336,55514.2824,55514.4614,
false,-1,23.976416,62.9041,34, ,55523.1354,55584.6149,55585.9292,55585.9836,
true,36,28.58824,3037.1919,35, ,55594.3507,55650.1551,58631.268,58631.4321,
true,59,29.574008,3207.1117,36, ,58642.1147,58697.017999,61848.958799,61849.1325,
false,-1,25.490336,64.046199,37, ,61859.1443,61922.084499,61923.0519,61923.109599,
true,40,29.798424,1953.173601,38, ,61931.9051,61995.3049,63884.6035,63884.9242,
false,-1,24.933504,48.1914,39, ,63892.5955,63939.497199,63940.6689,63940.719799,
false,-1,25.666784,67.1374,40, ,63947.9961,64013.2595,64014.9593,64015.0203,
true,37,30.992856,2507.338101,41, ,64025.7189,64084.0941,66532.7372,66532.8915,
true,36,31.167408,2539.582,42, ,66540.574,66588.2062,69079.8928,69080.081,
false,-1,23.895464,42.814101,43, ,69088.0048,69128.5728,69130.701999,69130.7332,
false,-1,26.27124,44.9498,44, ,69136.833,69180.846199,69181.6862,69181.7146,
true,59,31.217864,2942.024901,45, ,69188.2533,69237.197399,72129.9757,72130.1696,
false,-1,27.01968,48.912199,46, ,72138.2533,72186.2225,72187.0696,72187.1,
false,-1,27.413408,64.8379,47, ,72194.6683,72258.0161,72259.3258,72259.3804,
true,40,32.718888,2083.1937,48, ,72267.4659,72315.4267,74350.364999,74350.512,
false,-1,51.764816,49.4949,49, ,74358.5508,74406.8548,74407.9049,74407.960499,
true,40,31.767528,2407.2944,50, ,74415.478,74469.951599,76822.5309,76822.6643,
true,59,33.356848,1990.4099,51, ,76830.4405,76875.3567,78820.6131,78820.7433,
true,63,32.348984,2335.839,52, ,78828.8946,78895.017,81164.553,81164.6912,
false,-1,29.108504,50.1781,53, ,81172.835599,81222.2169,81222.950999,81222.9768,
false,-1,27.356808,55.0713,54, ,81230.0559,81284.102199,81285.061,81285.0926,
true,39,33.17844,2090.165001,55, ,81292.3078,81343.5512,83382.2293,83382.4119,
true,60,34.78104,2487.4336,56, ,83390.7024,83440.7022,85877.915999,85878.053499,
true,61,33.55952,2357.028401,57, ,85885.9851,85939.4293,88242.793199,88242.9642,
true,64,34.08844,1992.0245,58, ,88251.177,88300.1203,90242.9785,90243.1529,
false,-1,28.200984,47.6219,59, ,90251.1941,90297.955799,90298.7456,90298.7703,
true,58,34.325376,2127.0899,60, ,90306.1135,90355.2953,92432.896399,92433.0592,
true,65,35.525944,2377.462101,61, ,92441.5843,92488.3645,94818.8482,94818.9951,
false,-1,30.742688,56.265301,62, ,94827.6356,94883.1082,94883.844,94883.8672,
false,-1,29.809344,51.0298,63, ,94891.16,94941.3687,94942.1208,94942.144099,
true,60,36.846136,1721.4754,64, ,94949.191599,95000.6622,96670.4886,96670.6176,
true,61,46.336392,2354.4071,65, ,96679.2754,96743.0184,99033.444099,99033.6425,
false,-1,46.575808,57.618501,66, ,99041.8858,99098.787899,99099.448799,99099.4716,
true,59,36.346184,2105.1109,67, ,99106.868,99158.873,101211.7185,101211.922,
