Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,57,0.0,0.1109,46, ,
true,54,0.0,0.1382,46, ,
true,46,0.0,0.1029,46, ,
true,58,2.607224,0.143,47, ,
true,53,0.0,0.1157,47, ,
true,44,0.0,0.1354,47, ,
true,61,0.0,0.1249,47, ,
true,58,0.0,0.12,48, ,
true,60,2.60716,0.181,48, ,
true,44,0.0,0.1203,48, ,
true,56,2.60796,0.1519,48, ,
true,50,0.0,0.1271,49, ,
true,49,0.0,0.1473,49, ,
true,51,0.0,0.1263,49, ,
true,49,0.0,0.1763,49, ,
true,66,0.0,0.1412,50, ,
true,53,0.0,0.2633,50, ,
true,56,0.0,0.2248,50, ,
true,52,0.0,0.2472,50, ,
true,57,0.0,0.1332,51, ,
true,56,0.0,0.1322,51, ,
true,56,0.0,0.1465,51, ,
true,54,0.0,0.1444,51, ,
true,55,0.0,0.101,52, ,
true,59,0.0,0.1347,52, ,
true,50,0.0,0.1089,52, ,
true,57,2.608456,0.2317,52, ,
true,54,0.0,0.1258,53, ,
true,50,2.6088,0.1208,53, ,
true,64,0.0,0.1427,53, ,
true,60,2.608688,0.1513,53, ,
true,46,0.0,0.1091,54, ,
true,54,2.608432,0.151,54, ,
true,57,0.0,0.0968,54, ,
true,60,0.0,0.1215,54, ,
true,54,2.608784,0.1522,55, ,
true,42,2.60888,0.2606,55, ,
true,57,2.608816,0.1456,55, ,
true,60,2.60844,0.1916,55, ,
false,-1,0.0,0.2252,56, ,
true,50,2.562968,0.2179,56, ,
true,48,0.0,0.1634,56, ,
true,55,0.0,0.1933,56, ,
true,55,2.608944,0.1566,57, ,
true,49,0.0,0.223,57, ,
true,63,2.608888,0.2051,57, ,
true,52,0.0,0.1056,57, ,
true,48,0.0,0.124,58, ,
false,-1,2.609008,0.1886,58, ,
true,54,2.563464,0.2046,58, ,
true,56,2.608984,0.1899,58, ,
true,44,0.0,0.0774,59, ,
true,54,2.609328,0.1765,59, ,
true,46,0.0,0.0882,59, ,
true,54,0.0,0.1243,59, ,
true,51,0.0,0.1313,60, ,
true,48,0.0,0.1172,60, ,
true,48,0.0,0.1133,60, ,
true,55,0.0,0.1157,60, ,
true,50,0.0,0.1237,61, ,
false,-1,2.60928,0.197,61, ,
true,43,2.56408,0.1409,61, ,
true,54,0.0,0.1237,61, ,
true,60,2.609232,0.2327,62, ,
true,47,0.0,0.0825,62, ,
true,52,0.0,0.1214,62, ,
true,50,0.0,0.1184,62, ,
true,49,0.0,0.1936,63, ,
true,57,0.0,0.1229,63, ,
true,57,0.0,0.178,63, ,
true,54,0.0,0.1312,63, ,
true,54,0.0,0.0896,64, ,
true,64,2.609896,0.1827,64, ,
true,53,0.0,0.1567,64, ,
true,51,2.60972,0.1686,64, ,
true,51,0.0,0.106,65, ,
true,52,0.0,0.1326,65, ,
true,51,2.610144,0.261,65, ,
true,46,0.0,0.1327,65, ,
true,45,2.610184,0.2119,66, ,
true,54,0.0,0.1198,66, ,
true,47,0.0,0.1219,66, ,
true,51,2.610448,0.1424,66, ,
true,55,2.610128,0.2122,67, ,
true,41,2.610344,0.1699,67, ,
true,46,0.0,0.0863,67, ,
true,43,0.0,0.173,67, ,
true,46,0.0,0.1371,68, ,
true,50,0.0,0.1738,68, ,
true,45,0.0,0.0934,68, ,
true,61,0.0,0.12,68, ,
true,40,0.0,0.6989,69, ,
true,50,2.610976,0.2581,69, ,
true,57,0.0,0.1865,69, ,
true,48,0.0,0.1203,69, ,
true,49,0.0,0.1854,70, ,
true,46,0.0,0.1259,70, ,
true,56,2.610808,0.1709,70, ,
true,46,0.0,0.1028,70, ,
true,52,0.0,0.1435,71, ,
true,48,2.611104,0.2053,71, ,
true,61,0.0,0.1125,71, ,
true,58,0.0,0.0986,71, ,
true,63,0.0,0.114,72, ,
true,54,2.61116,0.1545,72, ,
true,49,0.0,0.0982,72, ,
true,52,0.0,0.0872,72, ,
true,44,2.611752,0.1524,73, ,
true,54,0.0,0.1249,73, ,
true,56,2.611256,0.2298,73, ,
true,47,0.0,0.0984,73, ,
true,40,0.0,0.1193,74, ,
true,46,0.0,0.1505,74, ,
true,51,0.0,0.1017,74, ,
true,52,2.611792,0.1894,74, ,
true,55,0.0,0.1325,75, ,
true,56,0.0,0.1383,75, ,
true,48,0.0,0.0996,75, ,
true,56,2.611552,0.1719,75, ,
true,47,0.0,0.1102,76, ,
true,57,0.0,0.1299,76, ,
true,63,0.0,0.163,76, ,
