Brute Force (Greedy Optimised),,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,31,4.699736,5.475,1, ,
true,56,2.749976,14.9334,2, ,
true,56,2.87616,12.0904,3, ,
true,54,4.177152,14.8153,4, ,
true,62,2.644912,3.5304,5, ,
true,64,3.883984,12.5028,6, ,
true,68,3.30812,7.8244,7, ,
true,69,5.227152,23.5452,8, ,
true,71,3.935304,11.5996,9, ,
true,64,4.764896,19.72,10, ,
true,65,6.276576,40.7823,11, ,
true,58,5.76108,16.9385,12, ,
true,66,2.605008,1.6253,13, ,
true,64,4.927824,11.628,14, ,
true,71,4.553648,8.3946,15, ,
true,69,6.277224,17.8414,16, ,
true,61,6.27748,16.3163,17, ,
true,67,4.730248,5.9185,18, ,
false,-1,6.277816,18.5341,19, ,
true,61,5.845136,19.1229,20, ,
true,64,4.561152,6.4734,21, ,
true,66,4.07256,5.0788,22, ,
false,-1,5.73592,11.4131,23, ,
true,63,6.272632,24.4299,24, ,
true,66,4.94384,15.8918,25, ,
true,66,5.11276,13.0404,26, ,
true,64,6.088176,14.1144,27, ,
true,60,5.779936,21.6931,28, ,
true,63,5.46116,16.5003,29, ,
true,70,6.277816,14.9897,30, ,
true,58,6.277704,17.3664,31, ,
true,62,6.180344,12.4696,32, ,
true,62,6.278,14.287,33, ,
true,59,4.66988,15.5083,34, ,
true,65,5.688624,13.8641,35, ,


The DEFAULT parameters of the random test data: Days:5  Hours:8  Rooms:5  Sessions:12  Individuals:25 (Ignore for the specified parameter).
