Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,
true,54,0,13411100, ,true,54,0,726900, ,true,54,0,596000, ,true,54,0,515900, ,true,54,0,465700, ,
true,50,0,363800, ,true,50,0,341300, ,true,50,0,346400, ,true,50,0,338300, ,true,50,0,332800, ,
