Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,59,0.0,0.2034,43, ,
false,-1,0.0,0.1483,43, ,
false,-1,0.0,0.1171,43, ,
false,-1,0.0,0.1443,43, ,
false,-1,0.0,0.2117,44, ,
true,67,0.0,0.1861,44, ,
true,65,0.0,0.2068,44, ,
false,-1,0.0,0.1458,44, ,
false,-1,2.585096,0.2824,45, ,
false,-1,0.0,0.1292,45, ,
false,-1,0.0,0.1937,45, ,
false,-1,0.0,0.1083,45, ,
false,-1,0.0,0.1593,46, ,
false,-1,2.585704,1.0899,46, ,
false,-1,0.0,0.1877,46, ,
false,-1,0.0,0.2434,46, ,
false,-1,0.0,0.2046,47, ,
true,58,2.585992,0.2846,47, ,
false,-1,0.0,0.1416,47, ,
false,-1,0.0,0.261,47, ,
false,-1,2.585856,0.2107,48, ,
true,38,2.585872,0.2845,48, ,
false,-1,0.0,0.1871,48, ,
false,-1,0.0,0.1231,48, ,
false,-1,2.585968,0.2503,49, ,
true,30,2.585712,0.3074,49, ,
true,35,0.0,0.1401,49, ,
false,-1,0.0,0.1466,49, ,
false,-1,0.0,0.143,50, ,
true,36,2.586424,0.2948,50, ,
false,-1,0.0,0.1056,50, ,
false,-1,2.586512,0.141,50, ,
false,-1,0.0,0.1256,51, ,
false,-1,2.586352,0.3984,51, ,
false,-1,0.0,0.1196,51, ,
false,-1,0.0,0.1072,51, ,
false,-1,0.0,0.1816,52, ,
false,-1,0.0,0.2412,52, ,
false,-1,0.0,0.4169,52, ,
true,37,0.0,0.217,52, ,
false,-1,2.590208,0.1626,53, ,
false,-1,0.0,0.2195,53, ,
false,-1,0.0,0.1977,53, ,
false,-1,0.0,0.1724,53, ,
false,-1,2.587024,0.1246,54, ,
false,-1,0.0,0.1605,54, ,
false,-1,0.0,0.0529,54, ,
false,-1,0.0,0.0914,54, ,
false,-1,0.0,0.0849,55, ,
false,-1,0.0,0.0943,55, ,
false,-1,0.0,0.1091,55, ,
false,-1,0.0,0.1064,55, ,
false,-1,0.0,0.0936,56, ,
false,-1,2.587472,0.1379,56, ,
false,-1,0.0,0.1066,56, ,
false,-1,0.0,0.0896,56, ,
false,-1,2.587304,0.1354,57, ,
false,-1,0.0,0.1081,57, ,
false,-1,0.0,0.0761,57, ,
false,-1,2.58752,0.1681,57, ,
false,-1,0.0,0.1264,58, ,
false,-1,2.587496,0.1192,58, ,
false,-1,2.587424,0.1849,58, ,
false,-1,0.0,0.0914,58, ,
false,-1,0.0,0.1292,59, ,
false,-1,0.0,0.0799,59, ,
false,-1,0.0,0.1494,59, ,
false,-1,0.0,0.1009,59, ,
false,-1,0.0,0.1383,60, ,
false,-1,0.0,0.1062,60, ,
false,-1,0.0,0.1406,60, ,
false,-1,0.0,0.124,60, ,
false,-1,0.0,0.1276,61, ,
false,-1,0.0,0.1198,61, ,
false,-1,0.0,0.1141,61, ,
false,-1,0.0,0.1284,61, ,
false,-1,0.0,0.1315,62, ,
false,-1,0.0,0.1362,62, ,
false,-1,0.0,0.1271,62, ,
false,-1,0.0,0.1366,62, ,
false,-1,0.0,0.079,63, ,
false,-1,0.0,0.1549,63, ,
false,-1,0.0,0.1309,63, ,
false,-1,0.0,0.1162,63, ,
false,-1,0.0,0.1311,64, ,
false,-1,0.0,0.136,64, ,
false,-1,0.0,0.1222,64, ,
false,-1,0.0,0.1352,64, ,
false,-1,0.0,0.1433,65, ,
false,-1,0.0,0.1229,65, ,
false,-1,0.0,0.106,65, ,
false,-1,0.0,0.1646,65, ,
false,-1,2.589112,0.1593,66, ,
false,-1,0.0,0.1141,66, ,
false,-1,0.0,0.1293,66, ,
false,-1,2.58936,0.193,66, ,
false,-1,0.0,0.1231,67, ,
false,-1,0.0,0.0746,67, ,
false,-1,0.0,0.122,67, ,
false,-1,0.0,0.0763,67, ,
false,-1,0.0,0.1322,68, ,
false,-1,0.0,0.1187,68, ,
false,-1,0.0,0.0981,68, ,
false,-1,0.0,0.1359,68, ,
false,-1,0.0,0.1094,69, ,
false,-1,0.0,0.1552,69, ,
false,-1,0.0,0.1273,69, ,
false,-1,0.0,0.0794,69, ,
false,-1,0.0,0.1547,70, ,
false,-1,0.0,0.1189,70, ,
false,-1,0.0,0.1701,70, ,
false,-1,0.0,0.0991,70, ,
false,-1,2.59012,0.1393,71, ,
false,-1,0.0,0.1055,71, ,
false,-1,0.0,0.114,71, ,
false,-1,0.0,0.2125,71, ,
false,-1,0.0,0.0856,72, ,
false,-1,0.0,0.1417,72, ,
false,-1,0.0,0.0992,72, ,
false,-1,0.0,0.1256,72, ,
false,-1,0.0,0.0867,73, ,
false,-1,0.0,0.0927,73, ,
false,-1,0.0,0.1243,73, ,
false,-1,0.0,0.1103,73, ,
false,-1,0.0,0.1094,74, ,
false,-1,0.0,0.0733,74, ,
false,-1,2.591008,0.2865,74, ,
false,-1,0.0,0.1379,74, ,
false,-1,0.0,0.1202,75, ,
false,-1,0.0,0.1097,75, ,
false,-1,0.0,0.1755,75, ,
false,-1,0.0,0.1311,75, ,
false,-1,2.591096,0.3489,76, ,
false,-1,2.591168,0.1646,76, ,
false,-1,0.0,0.1585,76, ,
false,-1,0.0,0.1457,76, ,
false,-1,0.0,0.2424,77, ,
false,-1,0.0,0.1261,77, ,
false,-1,0.0,0.1122,77, ,
false,-1,0.0,0.0854,77, ,
false,-1,0.0,0.1165,78, ,
false,-1,2.591664,0.2797,78, ,
false,-1,0.0,0.1188,78, ,
false,-1,0.0,0.3187,78, ,
false,-1,0.0,0.095,79, ,
false,-1,0.0,0.1867,79, ,
false,-1,0.0,0.0813,79, ,
false,-1,0.0,0.1749,79, ,
false,-1,0.0,0.1246,80, ,
false,-1,0.0,0.1124,80, ,
false,-1,0.0,0.0923,80, ,
false,-1,0.0,0.1292,80, ,
false,-1,0.0,0.0825,81, ,
false,-1,0.0,0.1167,81, ,
false,-1,0.0,0.1184,81, ,
false,-1,0.0,0.1063,81, ,
false,-1,0.0,0.1406,82, ,
false,-1,0.0,0.1198,82, ,
false,-1,0.0,0.077,82, ,
false,-1,0.0,0.1187,82, ,
false,-1,0.0,0.1226,83, ,
false,-1,0.0,0.0828,83, ,
false,-1,0.0,0.1654,83, ,
false,-1,0.0,0.092,83, ,
false,-1,0.0,0.1666,84, ,
false,-1,2.592704,0.1564,84, ,
false,-1,0.0,0.1095,84, ,
false,-1,0.0,0.1053,84, ,
false,-1,0.0,0.1419,85, ,
false,-1,0.0,0.1759,85, ,
false,-1,0.0,0.227,85, ,
