Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,37,4.69988,20.5042,1, ,
true,56,3.035088,11.3411,2, ,
true,38,3.03544,5.1474,3, ,
true,37,2.974136,3.3562,4, ,
true,28,2.974552,9.8974,5, ,
true,31,0.0,4.9853,6, ,
true,51,2.976264,4.8642,7, ,
true,63,3.040936,9.2831,8, ,
true,38,3.040808,13.2048,9, ,
true,38,2.977592,5.8799,10, ,
true,33,2.978144,8.2554,11, ,
true,20,2.97796,2.0013,12, ,
true,26,0.0,2.1506,13, ,
true,49,0.0,1.7503,14, ,
true,38,2.978992,4.671,15, ,
true,26,2.978848,9.456,16, ,
true,33,2.982424,3.0143,17, ,
true,39,2.982048,6.1169,18, ,
true,26,0.0,2.3985,19, ,
true,53,2.983,9.3852,20, ,
true,28,2.982872,5.3751,21, ,
true,49,2.983208,4.4282,22, ,
true,51,2.983648,5.5273,23, ,
true,25,3.046488,4.9967,24, ,
true,35,3.047,49.0754,25, ,
true,40,2.984,4.0047,26, ,
true,50,2.984552,3.3645,27, ,
true,23,2.98468,3.8851,28, ,
true,32,2.984696,7.6004,29, ,
true,50,3.300176,7.9612,30, ,
true,27,3.30924,7.5049,31, ,
true,27,3.43624,7.6626,32, ,
true,29,3.488024,4.2014,33, ,
true,47,3.538584,6.757,34, ,
true,37,3.413184,6.6411,35, ,
true,50,3.413456,4.1226,36, ,
true,63,3.413664,4.8259,37, ,
true,40,3.413624,7.5647,38, ,
true,52,3.413784,7.2486,39, ,
true,36,3.413856,7.4715,40, ,
true,47,3.41412,9.0803,41, ,
true,26,3.414432,7.7695,42, ,
true,63,3.41488,6.4085,43, ,
true,62,3.477456,8.9878,44, ,
true,49,3.4148,6.0203,45, ,
true,28,3.414968,11.3332,46, ,
true,39,3.414608,9.4415,47, ,
true,26,3.415248,11.1587,48, ,
true,48,3.352224,9.4647,49, ,
true,60,3.478672,9.8657,50, ,
true,47,3.416816,15.7388,51, ,
true,30,3.41736,7.5383,52, ,
true,61,3.417232,15.5532,53, ,
true,22,3.417528,11.0923,54, ,
true,25,3.417784,17.7339,55, ,
true,47,3.418184,9.1177,56, ,
true,37,3.418024,11.8173,57, ,
true,38,3.418032,10.5348,58, ,
true,46,3.418664,12.7599,59, ,
true,23,3.418288,9.6393,60, ,
true,62,3.418416,11.8213,61, ,
true,28,3.41868,11.5587,62, ,
true,26,3.4188,18.0856,63, ,
true,50,3.419384,9.9724,64, ,
true,52,3.419032,21.879,65, ,
true,38,3.4198,13.3167,66, ,
true,46,3.419584,14.8041,67, ,
true,50,3.4198,17.7572,68, ,
true,45,3.420168,14.3243,69, ,
true,51,3.420216,11.0953,70, ,
true,40,3.42036,23.9861,71, ,
true,24,3.420656,19.175,72, ,
true,29,3.421208,28.6939,73, ,
true,46,3.42072,19.6137,74, ,
true,26,3.421296,17.3083,75, ,
true,57,3.484792,11.9404,76, ,
true,47,3.485824,21.4342,77, ,
true,47,3.422392,15.1075,78, ,
true,37,3.48592,18.773,79, ,
true,25,3.422944,26.5678,80, ,
true,27,3.486264,22.1904,81, ,
true,49,3.42336,18.8703,82, ,
true,54,3.48636,22.0905,83, ,
true,46,3.4864,12.5969,84, ,
true,45,3.48696,20.3677,85, ,
true,63,3.48704,31.9857,86, ,
true,51,3.48728,17.0698,87, ,
true,29,3.487432,22.787,88, ,
true,29,3.487432,16.3733,89, ,
true,39,3.487848,13.9394,90, ,
true,25,3.488072,35.3683,91, ,
true,25,3.488144,28.2661,92, ,
true,20,3.488168,21.0331,93, ,
true,61,3.488592,16.5042,94, ,
true,63,3.48864,22.5919,95, ,
true,24,3.488696,28.66,96, ,
true,60,3.426352,22.7046,97, ,
true,48,3.489392,20.366,98, ,
true,49,3.489424,20.4562,99, ,
true,49,3.489632,23.4771,100, ,
true,44,3.48976,26.8398,101, ,
true,47,3.48984,13.4588,102, ,
true,63,3.490096,29.5469,103, ,
true,48,3.49016,14.5094,104, ,
true,27,3.490288,18.5218,105, ,
true,46,3.490464,30.8722,106, ,
true,47,3.490864,20.2882,107, ,
true,61,3.490824,28.9969,108, ,
true,39,3.491008,38.5102,109, ,
true,49,3.491096,30.6469,110, ,
true,60,3.491528,24.1728,111, ,
true,27,3.49164,23.5059,112, ,
true,27,3.49208,23.5377,113, ,
true,48,3.492432,20.4462,114, ,
true,24,3.491968,30.4503,115, ,
true,27,3.492432,24.4676,116, ,
true,26,3.492432,28.4388,117, ,
true,48,3.492832,26.4705,118, ,
true,26,3.492672,23.4441,119, ,
true,49,3.492952,28.3535,120, ,
true,24,3.493664,34.055,121, ,
true,25,3.493848,22.3664,122, ,
true,47,3.4944,24.2863,123, ,
true,20,3.493928,38.89,124, ,
true,61,3.49456,27.4751,125, ,
true,44,3.494296,38.4386,126, ,
true,38,3.49444,18.9131,127, ,
true,38,3.494712,41.7966,128, ,
true,24,3.494736,43.4645,129, ,
true,25,3.495232,40.9058,130, ,
true,26,3.494976,27.5454,131, ,
true,61,3.49544,23.4058,132, ,
true,27,3.495768,41.8411,133, ,
true,45,3.495544,25.6956,134, ,
true,27,3.496048,57.5256,135, ,
true,59,3.496184,24.4411,136, ,
true,26,3.496944,35.9507,137, ,
true,24,3.496944,35.5348,138, ,
true,60,3.497168,27.8574,139, ,
true,45,3.497528,33.0011,140, ,
true,24,3.497224,34.0233,141, ,
true,25,3.496768,18.7953,142, ,
true,25,3.497344,38.5616,143, ,
true,25,3.497304,31.9457,144, ,
true,62,3.49744,44.36,145, ,
true,45,3.497376,39.3769,146, ,
true,24,3.498336,35.2967,147, ,
true,35,3.498568,44.6557,148, ,
true,60,3.498296,46.8592,149, ,
true,27,3.498136,42.9103,150, ,
true,24,3.499256,28.5844,151, ,
true,22,3.499504,48.0957,152, ,
true,49,3.499712,42.8705,153, ,
true,49,3.498856,25.9116,154, ,
true,47,3.499088,51.2021,155, ,
true,25,3.49936,26.0809,156, ,
true,64,3.49924,47.3366,157, ,
true,39,3.499368,32.9151,158, ,
true,25,3.499576,32.9788,159, ,
true,50,3.49988,34.2171,160, ,
true,60,3.499552,47.9916,161, ,
true,48,3.500072,39.0445,162, ,
true,48,3.500048,28.4541,163, ,
true,26,3.500384,49.8549,164, ,
true,49,3.500848,38.2365,165, ,
true,50,3.500768,34.2957,166, ,
true,39,3.501024,27.6492,167, ,
true,38,3.501368,29.708,168, ,
true,45,3.501648,28.0715,169, ,
true,49,3.502584,40.4075,170, ,
true,49,3.501784,49.0302,171, ,
true,45,3.502176,49.8944,172, ,
true,24,3.502552,33.1583,173, ,
true,25,3.502616,64.0504,174, ,
true,59,3.50312,39.2997,175, ,
true,38,3.502768,41.5865,176, ,
true,48,3.503232,40.743,177, ,
true,58,3.503352,45.5664,178, ,
true,24,3.503472,48.9327,179, ,
true,25,3.503512,37.67,180, ,
true,39,3.503968,45.0369,181, ,
true,46,3.504048,46.0437,182, ,
true,47,3.504128,40.7368,183, ,
true,48,3.567296,30.9175,184, ,
true,44,3.504672,37.9109,185, ,
true,27,3.504704,54.1666,186, ,
true,22,3.568168,28.4025,187, ,
true,27,3.567952,56.0749,188, ,
true,44,3.568424,30.9882,189, ,
true,46,3.568168,59.8142,190, ,
true,61,3.568872,54.5313,191, ,
true,59,3.569104,48.9364,192, ,
true,36,3.569072,53.2593,193, ,
true,46,3.56928,56.3997,194, ,
true,47,3.569208,43.9399,195, ,
true,45,3.569224,63.1222,196, ,
true,39,3.569736,58.0491,197, ,
true,60,3.570008,54.6522,198, ,
true,46,3.570064,61.492,199, ,
true,49,3.570016,43.0814,200, ,
true,50,3.570248,33.0516,201, ,
true,45,3.57052,54.5953,202, ,
true,36,3.570568,45.5022,203, ,
true,28,3.570832,44.1512,204, ,
true,24,3.570904,71.7663,205, ,
true,24,3.571008,41.6899,206, ,
true,39,3.571352,80.8678,207, ,
true,49,3.571816,45.7063,208, ,
true,25,3.571624,47.8477,209, ,
true,47,3.571728,64.1223,210, ,
true,23,3.571568,40.9704,211, ,
true,26,3.572304,57.0244,212, ,
true,38,3.572368,44.0481,213, ,
true,26,3.5726,54.0673,214, ,
true,49,3.572704,83.1172,215, ,
true,47,3.572904,46.9087,216, ,
true,48,3.573096,67.9992,217, ,
true,23,3.573376,58.7262,218, ,
true,48,3.57328,46.0343,219, ,
true,65,3.57328,58.2083,220, ,
true,24,3.573624,52.318,221, ,
true,26,3.573648,64.1886,222, ,
true,41,3.57364,64.6448,223, ,
true,24,3.574168,69.6971,224, ,
true,64,3.574536,87.9054,225, ,
true,44,3.574592,55.3566,226, ,
true,47,3.57472,49.0027,227, ,
true,45,3.574632,95.6476,228, ,
true,28,3.57504,48.7949,229, ,
true,47,3.575088,51.8436,230, ,
true,26,3.575848,47.5407,231, ,
true,60,3.575664,79.2734,232, ,
true,48,3.575672,71.2854,233, ,
true,42,3.577992,55.0986,234, ,
true,46,3.57772,62.2971,235, ,
true,42,3.580056,73.2463,236, ,
true,26,3.578392,74.2349,237, ,
true,50,3.5782,65.0273,238, ,
true,64,3.57816,73.6238,239, ,
