,CSP (Randomised Optimisation),,,,,Times (ms),,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms), , Start, Modelled, Solved, Decoded
70,TRUE,57,38.149568,2570.2744, ,36617.4834,36705.7447,39187.4028,39187.6399
71,TRUE,59,38.337584,2467.9848, ,39196.5715,39271.3083,41664.3673,41664.4919
72,FALSE,-1,28.422184,91.7487, ,41673.8257,41764.6393,41765.5128,41765.5404
73,FALSE,-1,43.195952,78.444, ,41772.9959,41850.5812,41851.3846,41851.4099
74,FALSE,-1,28.490832,89.4096, ,41858.8733,41946.3202,41948.2029,41948.2483
75,TRUE,37,38.141696,2565.7958, ,41956.4898,42053.4517,44522.0717,44522.1938
76,FALSE,-1,31.3906,73.4681, ,44530.9205,44603.4724,44604.3267,44604.3537
77,FALSE,-1,28.872944,80.7692, ,44611.736,44691.3099,44692.4067,44692.4374
78,TRUE,62,45.095072,3457.3757, ,44701.5393,44777.3183,48158.6609,48158.8269
79,FALSE,-1,46.430928,73.4044, ,48168.2507,48240.784,48241.5846,48241.6104
80,TRUE,34,45.014016,3339.4557, ,48250.3296,48337.2641,51589.5913,51589.7232
81,FALSE,-1,32.248832,101.3273, ,51599.2009,51699.4362,51700.4474,51700.4895
82,FALSE,-1,28.910912,68.8426, ,51708.412,51776.0908,51777.1482,51777.2025
83,TRUE,37,45.61076,3383.0856, ,51785.015,51892.969,55167.9063,55168.0291
84,FALSE,-1,44.207336,80.3686, ,55177.7228,55257.264,55258.0323,55258.056
85,TRUE,35,46.944896,3420.1931, ,55266.223,55358.3219,58686.1766,58686.3463
86,TRUE,61,45.76788,3842.7647, ,58698.3258,58806.7022,62540.8711,62541.0089
87,FALSE,-1,43.507952,98.3118, ,62550.5078,62647.6281,62648.7398,62648.7764
88,FALSE,-1,29.572368,81.4071, ,62657.0197,62737.4617,62738.32,62738.3526
89,TRUE,61,46.931,4154.7536, ,62749.3418,62852.4354,66903.8196,66904.0102
90,FALSE,-1,46.704424,104.6953, ,66913.6294,67017.3639,67018.2674,67018.3038
91,TRUE,61,46.664912,2990.6886, ,67026.5842,67101.2516,70017.0165,70017.2207
92,TRUE,61,49.711992,3699.1193, ,70026.9818,70114.8041,73725.8001,73726.0484
93,FALSE,-1,29.597016,86.0355, ,73735.4741,73820.3293,73821.4328,73821.4739
94,TRUE,37,46.78644,4053.255, ,73828.9362,73913.9175,77882.0271,77882.1496
95,TRUE,35,46.529736,5154.2933, ,77891.9275,77992.1695,83046.0797,83046.1921
96,TRUE,35,47.75396,4524.6524, ,83055.9343,83163.806,87580.3645,87580.5519
97,FALSE,-1,33.171416,107.7968, ,87589.7547,87696.4054,87697.5017,87697.5252
98,FALSE,-1,33.150512,105.4339, ,87706.0323,87809.6767,87811.4187,87811.4456
99,TRUE,64,46.940808,4230.3616, ,87822.447,87938.213,92052.5361,92052.7761
100,TRUE,35,45.79884,3410.5608, ,92061.5433,92139.096,95471.9675,95472.0714
,,,,,,,,,
,,,,,,,69.165669,875.66185,0.175455
,,,,,,,,,
,,,,,,,,,
,The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:100  Individuals:50 (Ignore for the specified parameter).,,,,,,,,
