Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,55,0.0,0.2829,43, ,
false,-1,0.0,0.1632,43, ,
false,-1,0.0,0.1872,43, ,
true,51,2.585784,0.2832,43, ,
false,-1,0.0,0.2145,44, ,
false,-1,2.586,0.2017,44, ,
true,69,2.58612,0.8238,44, ,
false,-1,0.0,0.1449,44, ,
false,-1,0.0,0.1513,45, ,
false,-1,0.0,0.1612,45, ,
true,36,2.586264,0.2782,45, ,
false,-1,0.0,0.2568,45, ,
false,-1,0.0,0.1713,46, ,
false,-1,0.0,0.1704,46, ,
false,-1,0.0,0.165,46, ,
false,-1,2.586616,0.2702,46, ,
false,-1,2.586456,0.1715,47, ,
false,-1,0.0,0.1728,47, ,
false,-1,2.586856,0.1868,47, ,
false,-1,2.586608,0.1495,47, ,
false,-1,0.0,0.1826,48, ,
true,36,2.586784,0.372,48, ,
false,-1,2.590448,0.8721,48, ,
false,-1,0.0,0.2136,48, ,
false,-1,2.586912,0.274,49, ,
true,34,2.587176,0.3126,49, ,
false,-1,2.591112,0.2598,49, ,
false,-1,2.587064,0.2704,49, ,
false,-1,0.0,0.1478,50, ,
false,-1,0.0,0.1718,50, ,
false,-1,0.0,0.1135,50, ,
false,-1,0.0,0.1186,50, ,
false,-1,0.0,0.0894,51, ,
false,-1,0.0,0.1636,51, ,
false,-1,0.0,0.1337,51, ,
false,-1,0.0,0.1441,51, ,
false,-1,0.0,0.144,52, ,
true,37,2.587824,0.9801,52, ,
false,-1,2.591224,0.1522,52, ,
false,-1,0.0,0.1687,52, ,
false,-1,0.0,0.1261,53, ,
false,-1,0.0,0.2204,53, ,
false,-1,2.58788,0.1482,53, ,
false,-1,0.0,0.1303,53, ,
false,-1,0.0,0.1288,54, ,
false,-1,0.0,0.1326,54, ,
false,-1,0.0,0.163,54, ,
false,-1,2.58812,0.168,54, ,
false,-1,0.0,0.1346,55, ,
false,-1,0.0,0.1531,55, ,
false,-1,2.58844,0.1646,55, ,
false,-1,0.0,0.105,55, ,
false,-1,0.0,0.1004,56, ,
false,-1,2.5884,0.1721,56, ,
false,-1,0.0,0.1371,56, ,
false,-1,2.588344,0.1457,56, ,
false,-1,0.0,0.1236,57, ,
false,-1,0.0,0.1793,57, ,
false,-1,0.0,0.1419,57, ,
false,-1,0.0,0.1494,57, ,
false,-1,0.0,0.1113,58, ,
false,-1,0.0,0.1303,58, ,
false,-1,2.588784,0.1586,58, ,
false,-1,0.0,0.1576,58, ,
false,-1,0.0,0.1691,59, ,
false,-1,0.0,0.175,59, ,
false,-1,0.0,0.117,59, ,
false,-1,0.0,0.1518,59, ,
false,-1,0.0,0.1279,60, ,
false,-1,0.0,0.1804,60, ,
false,-1,0.0,0.1526,60, ,
false,-1,0.0,0.133,60, ,
false,-1,0.0,0.1072,61, ,
false,-1,0.0,0.1143,61, ,
false,-1,0.0,0.1332,61, ,
false,-1,0.0,0.1491,61, ,
false,-1,0.0,0.107,62, ,
false,-1,0.0,0.1395,62, ,
false,-1,0.0,0.1326,62, ,
false,-1,2.58944,0.1366,62, ,
false,-1,0.0,0.1528,63, ,
false,-1,2.589608,0.1403,63, ,
false,-1,2.589464,0.1935,63, ,
false,-1,0.0,0.1346,63, ,
false,-1,0.0,0.1299,64, ,
false,-1,0.0,0.1088,64, ,
false,-1,2.589616,0.1407,64, ,
false,-1,0.0,0.1505,64, ,
false,-1,2.589536,0.1992,65, ,
false,-1,0.0,0.1802,65, ,
false,-1,0.0,0.1448,65, ,
false,-1,2.589952,0.1958,65, ,
false,-1,0.0,0.1269,66, ,
false,-1,0.0,0.1909,66, ,
false,-1,2.58996,0.2319,66, ,
false,-1,0.0,0.2624,66, ,
false,-1,0.0,0.127,67, ,
false,-1,0.0,0.2496,67, ,
false,-1,0.0,0.1322,67, ,
false,-1,0.0,0.2119,67, ,
false,-1,0.0,0.1339,68, ,
false,-1,0.0,0.0979,68, ,
false,-1,0.0,0.1042,68, ,
false,-1,0.0,0.0895,68, ,
false,-1,0.0,0.1346,69, ,
false,-1,0.0,0.0922,69, ,
false,-1,2.590792,0.1439,69, ,
false,-1,2.590088,0.1504,69, ,
false,-1,0.0,0.1139,70, ,
false,-1,0.0,0.0915,70, ,
false,-1,0.0,0.1065,70, ,
false,-1,0.0,0.1376,70, ,
false,-1,2.59076,0.1459,71, ,
false,-1,0.0,0.1562,71, ,
false,-1,0.0,0.1452,71, ,
false,-1,0.0,0.1457,71, ,
false,-1,0.0,0.0968,72, ,
false,-1,0.0,0.1266,72, ,
false,-1,0.0,0.1663,72, ,
false,-1,0.0,0.1583,72, ,
false,-1,2.591256,0.2065,73, ,
false,-1,0.0,0.1296,73, ,
false,-1,0.0,0.2363,73, ,
false,-1,0.0,0.1031,73, ,
false,-1,0.0,0.0861,74, ,
false,-1,0.0,0.1312,74, ,
false,-1,0.0,0.0743,74, ,
false,-1,0.0,0.2357,74, ,
false,-1,0.0,0.1533,75, ,
false,-1,0.0,0.1138,75, ,
false,-1,0.0,0.1722,75, ,
false,-1,0.0,0.1521,75, ,
false,-1,2.591608,0.1644,76, ,
false,-1,0.0,0.1787,76, ,
false,-1,0.0,0.1407,76, ,
false,-1,0.0,0.1042,76, ,
false,-1,0.0,0.1239,77, ,
false,-1,0.0,0.1458,77, ,
false,-1,2.654912,0.2031,77, ,
false,-1,0.0,0.1307,77, ,
false,-1,0.0,0.1103,78, ,
false,-1,0.0,0.1233,78, ,
false,-1,0.0,0.1299,78, ,
false,-1,0.0,0.1831,78, ,
false,-1,0.0,0.0914,79, ,
false,-1,2.592424,0.1296,79, ,
false,-1,2.592936,0.1907,79, ,
false,-1,0.0,0.1496,79, ,
false,-1,2.593008,0.1904,80, ,
false,-1,0.0,0.1444,80, ,
false,-1,2.592736,0.4242,80, ,
false,-1,0.0,0.1533,80, ,
false,-1,0.0,0.1559,81, ,
false,-1,0.0,0.113,81, ,
false,-1,0.0,0.1804,81, ,
false,-1,0.0,0.0892,81, ,
false,-1,0.0,0.1453,82, ,
false,-1,0.0,0.1438,82, ,
