Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,48,0,0.1149, ,true,49,0,0.1542, ,true,53,53868344,6.4594, ,false,-1,0,4.2341, ,false,-1,0,3.1629, ,
true,40,0,0.2048, ,true,47,0,0.1208, ,true,54,0,4.576, ,false,-1,57536312,9.8089, ,false,-1,58584888,10.889, ,
true,57,0,0.2289, ,true,58,0,0.2177, ,true,68,59111224,2.4721, ,false,-1,60159800,3.4723, ,false,-1,60682040,3.9867, ,
true,42,0,0.1735, ,true,49,0,0.1398, ,true,56,62256952,5.9398, ,false,-1,63305528,6.8464, ,false,-1,63827768,8.7872, ,
true,63,0,0.0919, ,true,67,0,0.1282, ,true,69,65402680,5.8689, ,false,-1,66451256,3.2387, ,false,-1,67499832,5.2163, ,
true,49,0,0.1104, ,true,53,0,0.2322, ,true,59,69070648,4.2514, ,false,-1,69596984,11.0893, ,false,-1,70647624,8.0326, ,
true,50,0,0.0721, ,true,58,0,0.2645, ,true,62,0,9.4824, ,false,-1,0,7.7251, ,false,-1,74313528,10.8659, ,
true,63,0,0.0917, ,true,63,0,0.2345, ,true,67,0,6.1566, ,false,-1,76410680,13.2366, ,false,-1,77459256,12.3775, ,
true,46,0,0.0686, ,true,46,0,0.1106, ,true,56,0,2.2042, ,false,-1,0,8.8336, ,false,-1,0,3.0158, ,
true,54,0,0.0845, ,true,56,0,0.2705, ,true,59,0,4.3317, ,false,-1,0,4.9545, ,false,-1,0,5.8675, ,
false,-1,7557472,16.3792, ,false,-1,0,0.4176, ,false,-1,8606048,2.5306, ,false,-1,9132384,3.6787, ,false,-1,10180960,2.6268, ,
true,52,0,0.0832, ,true,56,0,0.116, ,true,65,10703200,3.1547, ,false,-1,11751776,7.7789, ,false,-1,12800352,8.6779, ,
true,56,0,0.1003, ,true,57,0,0.1581, ,true,69,13326688,3.2331, ,false,-1,14375264,3.4053, ,false,-1,15423840,2.9817, ,
true,42,0,0.1048, ,true,59,0,0.1406, ,true,66,16472416,5.0757, ,false,-1,17523056,7.1286, ,false,-1,18043232,7.7876, ,
true,62,0,0.0957, ,true,64,0,0.1339, ,true,71,18569568,3.4732, ,false,-1,20140384,8.4522, ,false,-1,20666720,9.2235, ,
true,52,0,0.1028, ,true,55,0,0.1623, ,true,68,21715296,3.1257, ,false,-1,22763872,14.3059, ,false,-1,23814512,9.0471, ,
true,55,0,0.1123, ,true,57,0,0.1927, ,true,69,24861024,5.0935, ,false,-1,25909600,9.3852, ,false,-1,26958176,13.8941, ,
true,53,0,0.1889, ,true,62,0,0.1714, ,true,69,28006752,4.6526, ,false,-1,29055328,12.3183, ,false,-1,30103904,14.0361, ,
false,-1,0,0.19, ,false,-1,0,0.1647, ,false,-1,31152480,5.0407, ,false,-1,32201056,6.1982, ,false,-1,33249632,4.7703, ,
true,59,0,0.1091, ,true,59,0,0.1871, ,true,71,34820448,4.7904, ,false,-1,35869024,13.6554, ,false,-1,36917600,10.4235, ,
true,51,0,0.0757, ,true,53,0,0.1248, ,true,60,38492512,4.0654, ,false,-1,39014752,1.9303, ,false,-1,40063328,3.7084, ,
true,45,0,0.0992, ,true,48,0,0.1309, ,true,56,41638240,5.4169, ,false,-1,42160480,2.371, ,false,-1,42686816,2.029, ,
true,64,0,0.1179, ,true,66,42686816,0.1891, ,true,73,43735392,4.3593, ,false,-1,44783968,7.6835, ,false,-1,45832544,8.533, ,
true,54,0,0.2336, ,true,63,45832544,0.1847, ,true,70,47403360,5.9784, ,false,-1,47929696,3.0888, ,false,-1,48978272,3.2484, ,
true,63,0,0.1035, ,true,65,0,0.179, ,true,71,49500512,2.3547, ,false,-1,50549088,3.1751, ,false,-1,51597664,4.1341, ,
true,53,0,0.097, ,true,53,0,0.1335, ,true,58,52646240,5.2436, ,false,-1,53694816,2.534, ,false,-1,54743392,2.3197, ,
true,51,0,0.1471, ,true,51,0,0.1925, ,true,68,55269728,2.4345, ,false,-1,55791968,6.5102, ,false,-1,56840544,6.1671, ,
true,44,0,0.0991, ,true,49,0,0.1708, ,true,58,57889120,2.7998, ,false,-1,58937696,6.8291, ,false,-1,59986272,5.1844, ,
true,46,0,0.0833, ,true,53,0,0.1143, ,true,59,61561184,6.2344, ,false,-1,62609760,2.4827, ,false,-1,63132000,2.1543, ,
true,41,0,0.078, ,true,44,0,0.1132, ,true,54,64706912,4.041, ,false,-1,65229152,1.4173, ,false,-1,65755488,2.7125, ,
true,51,0,0.0702, ,true,54,0,0.1313, ,true,65,66804064,2.7925, ,false,-1,67326304,5.8162, ,false,-1,68374880,8.1217, ,
true,52,0,0.1076, ,true,43,0,0.1991, ,true,67,69423456,3.099, ,false,-1,70472032,9.4314, ,false,-1,70998368,7.8529, ,
true,63,0,0.1257, ,true,66,0,0.1652, ,true,73,72569184,4.052, ,false,-1,73617760,9.371, ,false,-1,74144096,4.8541, ,
true,56,0,0.1322, ,true,57,0,0.1419, ,true,61,75714912,4.1825, ,false,-1,76241248,3.5404, ,false,-1,77289824,1.915, ,
true,53,0,0.0901, ,true,56,0,0.1608, ,true,63,77812064,2.4667, ,false,-1,77812064,5.8824, ,false,-1,5149544,3.5769, ,
true,53,0,0.1256, ,true,55,0,0.1344, ,true,64,6198120,2.8929, ,false,-1,7246696,7.1262, ,false,-1,7773032,6.5995, ,
true,53,0,0.0761, ,true,61,7773032,0.18, ,true,65,9870184,4.2023, ,false,-1,10392424,9.9571, ,false,-1,11441000,3.7907, ,
true,47,0,0.1088, ,true,54,0,0.4013, ,true,64,12489576,3.4225, ,false,-1,13538152,6.8648, ,false,-1,14064488,7.2319, ,
true,48,0,0.085, ,true,48,0,0.1295, ,true,54,15635304,4.6719, ,false,-1,16683880,6.8215, ,false,-1,17732456,3.2893, ,
true,53,0,0.1482, ,true,62,0,0.1877, ,true,64,19307368,3.3665, ,false,-1,20355944,6.0449, ,false,-1,21404520,4.4921, ,
true,47,0,0.0881, ,true,57,0,0.134, ,true,69,22453096,3.7383, ,false,-1,23501672,7.9719, ,false,-1,24550248,7.9696, ,
true,56,0,0.0883, ,true,61,0,0.1544, ,true,71,25598824,4.6175, ,false,-1,27169640,6.9209, ,false,-1,28218216,10.864, ,
true,50,0,0.0663, ,true,53,0,0.1902, ,true,65,28744552,3.0355, ,false,-1,29266792,1.8097, ,false,-1,29793128,1.4928, ,
true,53,0,0.1533, ,true,57,0,0.534, ,true,66,31363944,4.3482, ,false,-1,31890280,3.9021, ,false,-1,32938856,2.2494, ,
true,42,0,0.1257, ,true,42,0,0.1994, ,true,53,34509672,6.2399, ,false,-1,34509672,4.0802, ,false,-1,35558248,1.8191, ,
true,52,0,0.1546, ,true,50,0,0.148, ,true,63,37133160,4.168, ,false,-1,37655400,3.492, ,false,-1,38181736,6.0217, ,
true,61,0,0.1294, ,true,61,0,0.2412, ,true,63,0,4.4585, ,false,-1,40801128,14.0146, ,false,-1,41849704,14.652, ,
true,58,0,0.0712, ,true,65,0,0.1159, ,true,69,43424616,4.9114, ,false,-1,44473192,9.641, ,false,-1,45521768,3.5219, ,
true,51,0,0.0966, ,true,57,0,0.1278, ,true,59,47092584,8.8236, ,false,-1,48141160,8.1996, ,false,-1,49189736,13.795, ,
true,49,0,0.1621, ,true,54,0,0.176, ,true,55,50764648,8.534, ,false,-1,51813224,3.2, ,false,-1,52335464,2.7231, ,
true,51,0,0.1061, ,true,52,0,0.1343, ,true,53,54958952,9.3477, ,false,-1,56007528,9.3198, ,false,-1,56529768,11.5867, ,
true,50,0,0.0725, ,true,54,0,0.286, ,true,64,57578344,2.6685, ,false,-1,58104680,3.6647, ,false,-1,59153256,3.7464, ,
true,58,0,0.2552, ,true,63,0,0.1211, ,true,65,60724072,6.7127, ,false,-1,61772648,3.952, ,false,-1,62821224,6.241, ,
true,37,0,0.0982, ,true,46,0,0.1113, ,true,54,65444712,7.4984, ,false,-1,65966952,7.8129, ,false,-1,66493288,3.4115, ,
true,57,0,0.0788, ,true,61,0,0.1407, ,true,68,67015528,2.4804, ,false,-1,68064104,4.8109, ,false,-1,69112680,4.1137, ,
true,58,0,0.1218, ,true,60,0,0.252, ,true,63,71209832,8.4186, ,false,-1,72258408,11.0949, ,false,-1,72784744,9.4743, ,
true,52,0,0.1377, ,true,56,0,0.185, ,true,64,73833320,1.9431, ,false,-1,74355560,2.4139, ,false,-1,75404136,1.9811, ,
true,45,0,0.0814, ,true,47,0,0.163, ,true,55,77501288,3.401, ,false,-1,78027624,7.8954, ,false,-1,78549864,5.5305, ,
true,49,0,0.1254, ,true,60,0,0.1625, ,true,65,78549864,8.6138, ,false,-1,5632936,6.4727, ,false,-1,6681512,7.3601, ,
