,CSP Algorithm,,,,,,,,Times (ms),,,
 #Individuals,Valid?, Score, Score, RAM (MB), RAM (MB), Time (ms), Time (ms), , Start, Modelled, Solved, Decoded
57,FALSE,61,-1,33.55952,29.591,2357.028401,61.071, ,62891.779,62951.9636,62952.7503,62952.7958
58,FALSE,64,-1,34.08844,27.46748,1992.0245,61.2097, ,62960.7844,63021.1068,63021.9365,63021.9633
59,TRUE,-1,57,28.200984,35.29992,47.6219,2073.5019, ,63029.8481,63072.1663,65103.1009,65103.2887
60,TRUE,58,60,34.325376,35.892696,2127.0899,2330.9482, ,65111.8195,65161.5563,67442.594,67442.7204
61,FALSE,65,-1,35.525944,29.271176,2377.462101,61.5686, ,67451.0057,67511.529,67512.5186,67512.5448
62,TRUE,-1,37,30.742688,35.926104,56.265301,1792.5024, ,67520.1513,67568.9712,69312.4855,69312.599
63,FALSE,-1,-1,29.809344,30.847688,51.0298,49.41, ,69319.9392,69368.2454,69369.2136,69369.2631
64,FALSE,60,-1,36.846136,30.87556,1721.4754,49.0334, ,69376.1777,69424.4288,69425.1546,69425.1785
65,FALSE,61,-1,46.336392,32.624128,2354.4071,49.9097, ,69432.0658,69480.8562,69481.8969,69481.9438
66,TRUE,-1,37,46.575808,37.47112,57.618501,2647.9969, ,69489.058,69559.9754,72136.6974,72136.8499
67,FALSE,59,-1,36.346184,31.8426,2105.1109,57.6277, ,72145.8124,72202.457,72203.3699,72203.4031
68,TRUE,-1,35,49.574808,37.661944,66.472501,2379.6678, ,72210.4895,72266.9646,74589.927,74590.1095
69,TRUE,-1,36,31.055192,50.408368,69.7867,1933.4355, ,74599.3638,74653.6343,76532.5218,76532.7099
70,TRUE,37,36,44.326872,37.304112,2019.0895,2002.2375, ,76540.1878,76605.5538,78542.1763,78542.3526
71,FALSE,35,-1,51.92516,32.17896,1703.402899,54.8609, ,78550.6627,78604.7879,78605.4671,78605.4893
72,TRUE,64,60,46.588416,37.13324,3019.8623,2270.5693, ,78612.5653,78672.9657,80882.9359,80883.0848
73,TRUE,36,35,36.708384,41.335312,2547.781199,2539.8473, ,80891.8348,80950.7929,83431.4544,83431.6221
74,TRUE,37,40,40.071752,39.610968,2342.755599,2150.6912, ,83440.3428,83517.9834,85590.8052,85590.9725
75,TRUE,-1,34,28.853456,52.384544,50.0399,2292.5246, ,85599.287,85662.6773,87891.498,87891.7783
76,FALSE,-1,-1,33.379744,51.860984,57.8647,84.5999, ,87899.8033,87983.475,87984.3335,87984.3622
77,FALSE,36,-1,37.853736,31.35164,1495.470101,46.8804, ,87991.8097,88037.8983,88038.6491,88038.6709
78,FALSE,-1,-1,28.9466,32.4634,61.8647,63.5223, ,88046.346,88108.7279,88109.8238,88109.8496
79,TRUE,-1,63,32.62004,41.165344,69.2584,2410.6056, ,88118.8141,88192.7825,90529.2456,90529.3883
80,TRUE,61,37,49.407,57.226392,2075.8399,2049.9458, ,90538.0249,90600.1118,92587.7519,92587.9379
81,TRUE,37,61,40.517848,50.353376,2226.741999,2563.161, ,92595.8451,92673.2683,95158.7929,95158.9711
82,FALSE,61,-1,53.081576,33.339456,2520.3098,62.2389, ,95167.6568,95228.524,95229.846,95229.8736
83,FALSE,-1,-1,32.922776,43.071936,66.1752,65.0683, ,95237.6895,95301.5487,95302.7003,95302.7285
84,FALSE,-1,-1,32.350024,33.622264,69.158499,71.0632, ,95310.2206,95380.2983,95381.2277,95381.2608
