Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,54,0,0.0905, ,true,54,0,0.0918, ,true,54,0,0.0931, ,true,54,0,0.0907, ,true,54,0,0.0759, ,
true,56,0,0.0899, ,true,56,0,0.0559, ,true,56,0,0.0697, ,true,56,0,0.0882, ,true,56,0,0.1021, ,
true,46,0,0.0931, ,true,46,0,0.0913, ,true,46,0,0.1112, ,true,46,0,0.1023, ,true,46,0,0.1312, ,
true,54,0,0.0957, ,true,54,0,0.1025, ,true,54,0,0.1035, ,true,54,0,0.0985, ,true,54,0,0.099, ,
true,50,0,0.1073, ,true,50,0,0.0941, ,true,50,0,0.046, ,true,50,0,0.0432, ,true,50,0,0.0438, ,
true,52,0,0.1104, ,true,52,0,0.3319, ,true,52,0,0.0972, ,true,52,0,0.1086, ,true,52,0,0.1242, ,
true,56,0,0.097, ,true,56,0,0.1511, ,true,56,0,0.1639, ,true,56,0,0.0845, ,true,56,0,0.0867, ,
true,54,0,0.0943, ,true,54,0,0.0948, ,true,54,0,0.0955, ,true,54,0,0.0872, ,true,54,0,0.0813, ,
true,42,0,0.0888, ,true,42,0,0.0792, ,true,42,0,0.0812, ,true,42,0,0.0932, ,true,42,0,0.0887, ,
true,58,0,0.0849, ,true,58,0,0.1312, ,true,58,0,0.0829, ,true,58,0,0.0771, ,true,58,0,0.0753, ,
true,51,0,0.0892, ,true,51,0,0.0817, ,true,51,0,0.0852, ,true,51,0,0.0875, ,true,51,0,0.0885, ,
true,43,0,0.0793, ,true,43,0,0.0739, ,true,43,0,0.1354, ,true,43,0,0.0739, ,true,43,0,0.0729, ,
false,-1,0,0.3541, ,false,-1,0,0.2431, ,false,-1,0,0.2257, ,false,-1,0,0.1908, ,false,-1,0,0.2037, ,
true,35,0,0.0782, ,true,35,0,0.0723, ,true,35,0,0.1391, ,true,35,0,0.0748, ,true,35,0,0.0699, ,
true,55,0,0.1035, ,true,55,0,0.0934, ,true,55,0,0.0862, ,true,55,0,0.0847, ,true,55,0,0.0819, ,
true,49,0,0.0815, ,true,49,0,0.0847, ,true,49,0,0.0699, ,true,49,0,0.0706, ,true,49,0,0.0742, ,
true,44,0,0.093, ,true,44,0,0.0748, ,true,44,0,0.1559, ,true,44,0,0.0876, ,true,44,0,0.0762, ,
true,64,0,0.0805, ,true,64,0,0.0803, ,true,64,0,0.0733, ,true,64,0,0.0761, ,true,64,0,0.0734, ,
true,58,0,0.0945, ,true,58,0,0.0822, ,true,58,0,0.0816, ,true,58,0,0.0853, ,true,58,0,0.0796, ,
