Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,25,4.69972,11.2563,1, ,
true,46,2.842072,8.2507,2, ,
true,40,3.009664,7.5531,3, ,
true,69,3.200544,7.8078,4, ,
true,70,3.368336,5.2338,5, ,
true,69,3.53788,6.0508,6, ,
true,65,3.694216,5.4306,7, ,
true,48,3.862704,4.4623,8, ,
true,69,4.104528,5.2538,9, ,
true,39,4.068776,3.7551,10, ,
true,45,4.194536,4.2857,11, ,
true,49,4.410624,4.0856,12, ,
true,68,4.810184,6.5857,13, ,
true,66,4.947808,4.1781,14, ,
true,44,0.0,2.9583,15, ,
true,45,5.333272,3.2491,16, ,
true,43,5.33908,5.7492,17, ,
true,69,5.59668,8.0265,18, ,
true,41,5.9514,7.644,19, ,
true,48,6.233392,7.7131,20, ,
true,48,6.267176,15.6698,21, ,
true,49,6.481584,43.222,22, ,
true,51,6.739936,37.079,23, ,
true,70,6.822776,12.7468,24, ,
true,51,6.848904,10.2027,25, ,
true,47,7.236128,7.2839,26, ,
true,73,7.36824,6.5338,27, ,
true,67,7.479456,9.1081,28, ,
true,70,7.95736,8.067,29, ,
true,70,7.496296,9.0182,30, ,
true,47,8.211512,9.995,31, ,
true,68,8.353352,8.0383,32, ,
false,-1,49.134216,14.3437,33, ,
true,49,43.897528,13.9327,34, ,
true,72,8.467016,10.6559,35, ,
true,74,8.886,14.6197,36, ,
true,55,44.344944,25.3169,37, ,
true,52,9.85236,22.5907,38, ,
true,51,44.937528,16.3235,39, ,
true,49,9.65412,14.7778,40, ,
true,43,10.307032,12.267,41, ,
true,45,45.888992,14.9652,42, ,
false,-1,10.18308,11.9828,43, ,
false,-1,10.809384,13.7046,44, ,
true,50,44.756344,17.5225,45, ,
true,66,42.424712,18.5927,46, ,
true,45,11.172128,16.0385,47, ,
true,71,44.284016,19.1011,48, ,
true,75,40.267944,21.5039,49, ,
true,46,44.682344,17.4273,50, ,
false,-1,37.99988,19.2298,51, ,
true,70,42.01184,17.8651,52, ,
true,78,42.297736,17.952,53, ,
true,51,38.897016,20.6745,54, ,
true,70,40.113184,21.7419,55, ,
true,47,44.733816,21.9435,56, ,
true,49,43.649208,20.0912,57, ,
true,45,42.188168,20.1282,58, ,
true,48,39.351256,19.6842,59, ,
true,68,44.895584,23.9104,60, ,
true,45,43.696984,23.2793,61, ,
true,46,50.582776,32.5826,62, ,
true,52,41.8862,29.7605,63, ,
true,67,48.832224,24.7692,64, ,
true,46,44.42876,43.0779,65, ,
true,45,42.205256,29.616,66, ,
true,68,42.42596,26.2946,67, ,
true,48,44.99432,22.7146,68, ,
true,66,44.44636,24.3863,69, ,
true,75,43.260216,21.464,70, ,
true,73,46.911648,31.0608,71, ,
true,72,44.702312,30.7931,72, ,
true,72,43.584256,26.8534,73, ,
true,44,45.320376,23.5854,74, ,
true,75,40.165016,21.9918,75, ,
true,45,38.288848,18.6337,76, ,
true,68,40.4598,24.3367,77, ,
true,69,42.551224,23.6328,78, ,
true,72,42.646792,26.9646,79, ,
true,46,38.517888,27.3247,80, ,
true,69,42.441352,25.8158,81, ,
false,-1,40.736872,22.6715,82, ,
true,69,40.040568,26.9278,83, ,
true,45,39.891224,23.3296,84, ,
true,47,38.01604,26.3332,85, ,
true,69,44.649832,33.8949,86, ,
true,43,44.397576,28.7244,87, ,
true,65,39.012552,23.9256,88, ,
true,47,44.650432,24.0468,89, ,
true,67,40.038936,26.6088,90, ,
false,-1,42.048616,28.7483,91, ,
true,46,44.804872,31.6335,92, ,
true,46,42.371544,37.7898,93, ,
true,64,40.111024,26.9424,94, ,
false,-1,38.798896,27.0097,95, ,
true,68,39.013144,25.2152,96, ,
true,46,38.904696,29.9361,97, ,
true,70,38.216976,39.6704,98, ,
true,65,46.736768,32.4672,99, ,
true,44,43.038056,32.2904,100, ,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:12  Individuals:25 (Ignore for the specified parameter).
