,Brute Force,,,,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms),, 
145,TRUE,66,27.677592,61.3019,, 
146,TRUE,62,39.587128,55.5735,, 
147,TRUE,61,27.652376,55.3219,, 
148,TRUE,43,45.47868,90.361,, 
149,TRUE,40,45.995624,56.8391,, 
150,TRUE,69,46.468584,77.2816,, 
151,TRUE,40,30.42844,48.1022,, 
152,TRUE,60,29.778848,52.485,, 
153,TRUE,37,30.831392,58.7021,, 
154,TRUE,38,46.656664,67.4695,, 
155,TRUE,62,31.047016,65.6553,, 
156,TRUE,60,30.877096,54.0385,, 
157,TRUE,64,37.122424,59.2432,, 
158,TRUE,61,42.893736,64.0692,, 
159,TRUE,62,31.750992,76.3937,, 
160,TRUE,41,46.638912,69.9719,, 
161,TRUE,41,46.199776,67.3619,, 
162,TRUE,63,46.569624,89.5982,, 
163,TRUE,59,31.390984,60.3685,, 
164,TRUE,67,45.125064,68.6061,, 
165,TRUE,69,32.907064,72.5384,, 
166,TRUE,46,34.722872,79.4191,, 
167,TRUE,44,46.917184,76.9279,, 
168,TRUE,66,33.883712,80.9521,, 
169,TRUE,61,33.936808,65.7586,, 
170,TRUE,59,33.251672,57.0284,, 
171,TRUE,59,32.818744,68.5772,, 
172,TRUE,38,35.204144,73.6621,, 
173,TRUE,64,46.429128,73.6242,, 
174,TRUE,34,33.208608,91.3242,, 
175,TRUE,59,46.70536,72.5546,, 
176,TRUE,59,44.120248,83.1206,, 
177,TRUE,62,35.021728,98.3082,, 
178,TRUE,63,46.272096,70.8446,, 
179,TRUE,67,52.916032,77.5698,, 
180,TRUE,40,47.509344,96.721,, 
181,TRUE,63,33.112216,64.5946,, 
182,TRUE,62,49.49856,61.1369,, 
183,TRUE,40,52.61172,94.2238,, 
184,TRUE,40,35.624152,62.3675,, 
185,TRUE,65,46.513808,87.1588,, 
186,TRUE,42,35.047456,78.3557,, 
187,TRUE,35,46.560304,83.0695,, 
188,TRUE,37,34.566352,84.4,, 
189,TRUE,61,36.525408,68.6816,, 
190,TRUE,40,49.611544,76.3408,, 
191,TRUE,39,36.871944,74.774,, 
192,TRUE,60,46.678136,88.8697,, 
193,TRUE,46,46.544688,86.7018,, 
194,TRUE,39,42.460712,98.4495,, 
195,TRUE,58,36.975736,92.0283,, 
196,TRUE,40,38.440928,78.9954,, 
197,TRUE,61,46.495272,96.2131,, 
198,TRUE,39,35.989264,76.2476,, 
199,TRUE,44,37.693648,88.5324,, 
200,TRUE,60,47.380648,111.5469,, 
201,TRUE,66,54.68868,95.8104,, 
202,TRUE,37,38.529528,84.2281,, 
203,TRUE,48,46.40828,100.0754,, 
204,TRUE,69,52.237424,91.9341,, 
205,TRUE,43,54.305816,97.6866,, 
206,TRUE,69,54.4594,99.0246,, 
207,TRUE,36,39.002904,84.66,, 
208,TRUE,59,46.475704,86.1003,, 
209,TRUE,41,37.64052,81.1759,, 
210,TRUE,36,46.448696,103.9566,, 
211,TRUE,42,41.791088,91.578,, 
212,TRUE,45,50.055448,98.5598,, 
213,TRUE,63,41.113424,111.39,, 
214,TRUE,39,50.23812,81.1295,, 
215,TRUE,37,39.387232,83.6743,, 
216,TRUE,60,46.883064,96.6736,, 
217,TRUE,46,38.994456,100.4988,, 
218,TRUE,59,46.573256,98.1128,, 
219,TRUE,41,44.27804,101.4828,, 
220,TRUE,56,42.749208,124.9351,, 
221,TRUE,41,43.032816,107.2256,, 
222,TRUE,35,49.876248,111.677,, 
223,TRUE,64,44.108568,118.8212,, 
224,TRUE,45,44.517464,103.6703,, 
225,TRUE,44,52.700328,107.0228,, 
226,TRUE,61,45.33044,122.5435,, 
227,TRUE,37,52.629864,94.2976,, 
228,TRUE,60,44.661656,133.3107,, 
229,TRUE,60,46.46012,134.3932,, 
230,TRUE,43,42.090128,102.451,, 
231,TRUE,37,47.8034,97.3833,, 
232,TRUE,37,43.356168,112.5732,, 
233,TRUE,61,48.476656,112.0154,, 
234,TRUE,58,42.185152,100.4973,, 
235,TRUE,40,50.233,95.3089,, 
236,TRUE,66,47.009048,117.0638,, 
237,TRUE,39,48.299288,123.7233,, 
238,TRUE,39,45.131192,93.3424,, 
239,TRUE,61,49.96172,105.8629,, 
240,TRUE,36,45.537048,131.6291,, 
241,TRUE,42,48.304336,100.6643,, 
242,TRUE,40,47.729472,124.4958,, 
243,TRUE,36,49.910768,153.8815,, 
244,TRUE,57,50.413288,101.4207,, 
245,TRUE,60,46.325088,126.3245,, 
246,TRUE,35,48.772536,110.976,, 
247,TRUE,59,46.916864,121.2037,, 
248,TRUE,62,45.453544,129.5082,, 
249,TRUE,37,50.14816,121.2274,, 
250,TRUE,50,50.486096,133.9801,, 
251,TRUE,42,52.196248,110.227,, 
252,TRUE,70,45.308464,104.2069,, 
253,TRUE,58,51.274744,104.0838,, 
254,TRUE,42,49.200112,124.1885,, 
255,TRUE,64,49.408904,125.736,, 
256,TRUE,46,51.5144,136.0473,, 
257,TRUE,48,48.46096,110.9139,, 
258,TRUE,61,53.40384,132.1095,, 
259,TRUE,49,52.804024,131.7343,, 
260,TRUE,61,48.583072,123.6438,, 
261,TRUE,61,52.010488,125.9784,, 
262,TRUE,67,53.253056,132.1389,, 
263,TRUE,66,53.603832,135.9226,, 
264,TRUE,66,54.004872,133.2752,, 
265,TRUE,58,50.70928,137.7612,, 
266,TRUE,38,49.480968,145.6233,, 
267,TRUE,61,52.25148,155.138,, 
268,TRUE,39,51.134824,125.1828,, 
269,TRUE,38,49.823944,126.8711,, 
270,TRUE,37,52.915752,153.873,, 
271,TRUE,64,52.644128,156.1936,, 
272,TRUE,39,54.650872,160.7258,, 
273,TRUE,47,51.670008,117.4036,, 
274,TRUE,63,55.378424,164.3804,, 
275,TRUE,56,52.429152,150.2205,, 
276,TRUE,65,55.345544,146.2428,, 
277,TRUE,40,52.590336,172.2819,, 
278,TRUE,61,55.993336,176.0598,, 
279,TRUE,62,56.171848,151.6199,, 
280,TRUE,59,53.334816,145.4164,, 
281,TRUE,62,51.958664,140.0473,, 
282,TRUE,45,55.30996,171.9191,, 
283,TRUE,61,51.646584,159.6511,, 
284,TRUE,39,56.25584,143.0362,, 
285,TRUE,61,54.499264,154.9025,, 
286,TRUE,42,57.45868,156.5392,, 
287,TRUE,68,57.913848,173.5811,, 
288,TRUE,60,58.4814,160.8736,, 
289,TRUE,42,58.418168,159.4079,, 
290,TRUE,62,53.99912,188.0883,, 
291,TRUE,59,58.053272,182.243,, 
292,TRUE,44,56.519672,196.5058,, 
293,TRUE,61,59.6654,177.3591,, 
294,TRUE,53,58.403208,172.0989,, 
295,TRUE,59,60.033688,147.5343,, 
296,TRUE,58,57.546616,140.6826,, 
297,TRUE,49,54.746512,155.2977,, 
298,TRUE,61,59.147768,177.9976,, 
299,TRUE,62,59.90048,168.4652,, 
300,TRUE,47,60.096504,165.3594,, 
301,TRUE,42,60.689616,170.3975,, 
302,TRUE,36,57.844752,161.2952,, 
303,TRUE,64,57.569,180.9076,, 
304,TRUE,60,56.056992,150.3573,, 
305,TRUE,39,60.365912,192.0819,, 
306,TRUE,46,57.896136,160.9505,, 
307,TRUE,39,59.500464,168.2297,, 
308,TRUE,46,58.596064,154.5264,, 
309,TRUE,39,56.847048,179.3548,, 
310,TRUE,37,58.58068,182.5107,, 
311,TRUE,67,60.701272,162.3669,, 
312,TRUE,58,84.734152,169.4103,, 
313,TRUE,41,84.305096,210.9319,, 
314,TRUE,57,66.537888,177.1885,, 
315,TRUE,42,61.915208,179.5401,, 
316,TRUE,41,61.71432,168.9922,, 
317,TRUE,46,59.61216,178.1939,, 
318,TRUE,39,61.068008,144.1149,, 
319,TRUE,60,60.779096,156.7525,, 
320,TRUE,37,63.352032,191.9114,, 
321,TRUE,60,60.892248,152.9198,, 
322,TRUE,69,63.661768,184.2803,, 
323,TRUE,59,64.55316,205.6766,, 
324,TRUE,58,67.62172,169.4892,, 
325,TRUE,34,61.150408,178.4934,, 
326,TRUE,39,64.8066,198.4504,, 
327,TRUE,38,61.414488,165.5412,, 
328,TRUE,59,64.186056,167.21,, 
329,TRUE,63,65.75636,189.7761,, 
330,TRUE,69,65.430728,196.2791,, 
