Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,43,0.0,0.1211,46, ,
true,58,0.0,0.0835,46, ,
true,56,0.0,0.1138,46, ,
true,58,0.0,0.1098,47, ,
true,57,0.0,0.1075,47, ,
true,57,0.0,0.1005,47, ,
true,39,0.0,0.0967,47, ,
true,59,2.617912,0.2435,48, ,
true,56,0.0,0.1256,48, ,
true,54,0.0,0.1177,48, ,
true,52,0.0,0.2089,48, ,
true,59,0.0,0.1251,49, ,
true,57,0.0,0.1461,49, ,
true,44,0.0,0.122,49, ,
true,49,0.0,0.1202,49, ,
true,48,0.0,0.1133,50, ,
true,53,0.0,0.1025,50, ,
true,52,2.618296,0.1474,50, ,
true,57,0.0,0.1224,50, ,
true,50,0.0,0.1174,51, ,
true,45,0.0,0.104,51, ,
true,51,2.61812,0.1663,51, ,
true,53,0.0,0.1539,51, ,
true,64,2.618512,1.4782,52, ,
true,54,2.618016,0.1394,52, ,
true,50,0.0,0.0934,52, ,
true,53,0.0,0.2104,52, ,
true,56,0.0,0.0872,53, ,
true,40,0.0,0.0922,53, ,
true,58,2.618464,0.1284,53, ,
true,55,0.0,0.1013,53, ,
true,51,2.618176,0.3327,54, ,
true,51,0.0,0.1326,54, ,
true,62,2.618512,0.1666,54, ,
true,54,0.0,0.1449,54, ,
true,45,2.619024,0.1306,55, ,
true,55,0.0,0.1024,55, ,
true,56,0.0,0.0901,55, ,
true,52,0.0,0.1352,55, ,
true,60,0.0,0.1117,56, ,
true,62,0.0,0.0952,56, ,
true,52,0.0,0.0818,56, ,
true,58,0.0,0.0878,56, ,
true,57,0.0,0.0831,57, ,
true,53,0.0,0.0807,57, ,
true,59,0.0,0.1076,57, ,
true,57,0.0,0.1063,57, ,
true,52,0.0,0.1046,58, ,
true,39,2.61896,0.1243,58, ,
true,50,0.0,0.1404,58, ,
true,47,0.0,0.1414,58, ,
true,48,0.0,0.0533,59, ,
true,53,0.0,0.1015,59, ,
true,43,0.0,0.0889,59, ,
true,57,0.0,0.0987,59, ,
true,55,0.0,0.1076,60, ,
true,52,0.0,0.0778,60, ,
true,63,0.0,0.147,60, ,
true,47,0.0,0.0856,60, ,
true,58,0.0,0.0635,61, ,
true,51,0.0,0.2682,61, ,
true,50,0.0,0.1118,61, ,
true,60,0.0,0.0967,61, ,
true,54,0.0,0.0672,62, ,
true,46,0.0,0.1065,62, ,
true,51,0.0,0.2809,62, ,
false,-1,2.619352,0.191,62, ,
true,56,2.615848,0.1466,63, ,
true,52,2.61996,0.1445,63, ,
true,54,0.0,0.1428,63, ,
true,51,0.0,0.0893,63, ,
true,55,2.619856,0.1242,64, ,
true,56,0.0,0.0762,64, ,
true,53,0.0,0.1063,64, ,
false,-1,2.620032,0.1826,64, ,
true,56,0.0,0.1161,65, ,
true,49,2.619464,0.2041,65, ,
true,50,2.620128,0.1166,65, ,
true,55,2.61968,0.2121,65, ,
true,51,2.61996,0.2885,66, ,
true,53,0.0,0.1213,66, ,
true,48,0.0,0.1269,66, ,
true,49,2.620152,0.1446,66, ,
true,56,0.0,0.1121,67, ,
true,49,2.620096,0.1428,67, ,
true,43,2.620432,0.3426,67, ,
true,53,0.0,0.0988,67, ,
true,54,0.0,0.1239,68, ,
true,51,2.620712,0.2479,68, ,
true,55,0.0,0.1292,68, ,
true,45,0.0,0.1953,68, ,
true,52,2.620696,0.3013,69, ,
true,51,2.683648,0.1818,69, ,
true,44,0.0,0.193,69, ,
true,59,2.62064,0.1987,69, ,
true,46,0.0,0.1755,70, ,
true,55,0.0,0.1638,70, ,
true,53,0.0,0.2268,70, ,
true,43,0.0,0.1796,70, ,
true,46,0.0,0.1451,71, ,
true,54,0.0,0.0919,71, ,
true,47,0.0,0.0962,71, ,
true,47,0.0,0.1069,71, ,
true,57,0.0,0.1224,72, ,
true,55,0.0,0.1093,72, ,
true,53,0.0,0.1172,72, ,
false,-1,0.0,0.1872,72, ,
true,51,0.0,0.0937,73, ,
true,57,0.0,0.064,73, ,
true,55,0.0,0.0952,73, ,
true,54,0.0,0.0938,73, ,
false,-1,0.0,0.0856,74, ,
true,52,0.0,0.1139,74, ,
true,44,0.0,0.1212,74, ,
true,51,0.0,0.1018,74, ,
true,52,0.0,0.0886,75, ,
true,53,0.0,0.176,75, ,
true,58,0.0,0.0828,75, ,
true,45,0.0,0.108,75, ,
true,50,0.0,0.1001,76, ,
true,44,0.0,0.1174,76, ,
true,49,2.684624,0.2401,76, ,
true,59,0.0,0.1381,76, ,
true,50,0.0,0.1163,77, ,
true,56,0.0,0.1362,77, ,
true,55,0.0,0.1341,77, ,
true,52,0.0,0.2856,77, ,
true,54,0.0,0.1359,78, ,
true,46,0.0,0.1062,78, ,
false,-1,2.685768,0.214,78, ,
true,46,0.0,0.1047,78, ,
true,51,0.0,0.1302,79, ,
true,52,2.685352,0.1684,79, ,
true,63,0.0,0.1691,79, ,
true,60,0.0,0.2031,79, ,
true,60,0.0,0.0988,80, ,
true,50,0.0,0.1505,80, ,
true,60,0.0,0.0937,80, ,
true,50,0.0,0.1137,80, ,
true,40,0.0,0.0757,81, ,
true,52,0.0,0.1066,81, ,
true,60,2.685752,0.1606,81, ,
true,48,2.685456,0.1788,81, ,
true,51,2.686232,0.1428,82, ,
true,51,2.685376,0.1777,82, ,
true,52,2.685784,0.1608,82, ,
true,55,2.68552,0.1403,82, ,
true,55,2.685496,0.1757,83, ,
true,43,0.0,0.1184,83, ,
true,51,0.0,0.095,83, ,
true,57,0.0,0.135,83, ,
true,49,0.0,0.1236,84, ,
true,56,0.0,0.1117,84, ,
true,46,0.0,0.0963,84, ,
true,50,0.0,0.1255,84, ,
