Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions = #Individuals, ,
true,68,4.194304,8.9138,4, ,
true,30,3.015384,9.0597,5, ,
true,69,2.868648,3.7367,6, ,
true,28,2.99592,3.4842,7, ,
true,63,2.933584,3.6514,8, ,
true,60,2.934552,2.7351,9, ,
true,36,2.998504,6.8387,10, ,
true,54,2.937232,2.1401,11, ,
true,59,3.000672,2.6074,12, ,
true,30,2.938424,1.743,13, ,
true,68,2.938424,1.6337,14, ,
true,33,2.939064,2.205,15, ,
true,60,2.93948,1.7667,16, ,
true,61,2.939704,1.4223,17, ,
true,53,2.940112,1.0864,18, ,
true,31,2.940344,2.8635,19, ,
true,47,3.003936,11.1064,20, ,
true,56,3.004208,2.2372,21, ,
true,29,3.00436,2.0,22, ,
true,40,3.00472,3.0598,23, ,
true,26,3.0052,3.1569,24, ,
true,50,3.00536,2.5368,25, ,
true,52,3.005736,2.6713,26, ,
true,29,3.068744,2.9467,27, ,
true,29,3.006424,4.5752,28, ,
true,30,3.006672,3.2644,29, ,
true,37,3.007016,2.0766,30, ,
true,51,3.196368,51.7405,31, ,
true,55,3.070976,2.882,32, ,
true,54,3.074352,2.7857,33, ,
true,48,3.074848,1.9343,34, ,
true,51,3.075312,4.4992,35, ,
true,23,3.075768,4.1569,36, ,
true,31,3.076144,6.1863,37, ,
true,49,3.0764,7.2168,38, ,
true,50,3.076928,7.4975,39, ,
true,28,3.076984,6.9881,40, ,
true,50,3.077448,5.7647,41, ,
true,51,3.203688,3.9409,42, ,
true,51,3.44748,6.635,43, ,
true,61,3.465944,5.4981,44, ,
true,52,3.744968,15.6343,45, ,
true,47,3.666552,6.2707,46, ,
true,54,3.63256,8.064,47, ,
true,53,3.570112,6.3833,48, ,
true,29,3.570448,13.9571,49, ,
true,25,3.570624,8.949,50, ,
true,27,3.571264,8.252,51, ,
true,38,3.571616,10.4495,52, ,
true,31,3.698088,5.124,53, ,
true,26,3.636344,6.9884,54, ,
true,46,3.636632,14.5487,55, ,
true,52,3.637416,18.6037,56, ,
true,51,3.63756,8.9173,57, ,
true,49,3.637776,13.4046,58, ,
true,62,3.638272,13.6512,59, ,
true,39,3.638088,12.6982,60, ,
true,23,3.638592,12.5304,61, ,
true,26,3.639008,18.2409,62, ,
true,26,3.702352,13.1729,63, ,
true,60,3.70316,25.0082,64, ,
true,48,3.704,39.9945,65, ,
true,38,3.704392,23.0395,66, ,
true,27,3.704528,23.1416,67, ,
true,60,3.704472,22.1102,68, ,
true,47,3.705208,17.9715,69, ,
true,28,3.705072,15.94,70, ,
true,26,3.705248,41.8535,71, ,
true,61,3.706192,26.9305,72, ,
true,39,3.706256,51.4009,73, ,
true,47,3.769832,36.6755,74, ,
true,23,3.770664,33.3931,75, ,
true,45,3.771736,42.7901,76, ,
true,23,3.77204,33.9231,77, ,
true,27,3.7724,85.3395,78, ,
true,39,3.772328,59.2795,79, ,
true,25,3.772312,41.2994,80, ,
true,36,3.773424,25.9106,81, ,
true,51,3.773008,23.0649,82, ,
true,48,3.773792,43.5679,83, ,
true,60,3.774784,30.7181,84, ,
true,24,3.837376,33.2832,85, ,
true,26,3.839288,31.8695,86, ,
true,23,3.839016,37.6768,87, ,
true,35,3.839664,32.7819,88, ,
true,49,3.839976,28.7892,89, ,
true,28,3.840216,52.7616,90, ,
true,47,3.840936,27.5928,91, ,
true,47,3.84024,50.8504,92, ,
true,24,3.840752,26.6422,93, ,
true,49,3.841704,62.6278,94, ,
true,49,3.842144,47.7394,95, ,
true,39,3.843304,67.5807,96, ,
true,38,3.84312,57.2156,97, ,
true,24,3.906672,52.0854,98, ,
true,47,3.906808,58.51,99, ,
true,23,3.907456,38.2831,100, ,
true,48,3.907944,54.8246,101, ,
true,25,3.908736,38.458,102, ,
true,44,3.909584,72.7184,103, ,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:50  Individuals:100 (Ignore for the specified parameter(s)).
