Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,60,4.699688,8.3737,1, ,
true,56,3.102504,9.9392,2, ,
true,64,3.271368,12.3572,3, ,
true,69,3.439896,6.0386,4, ,
true,68,3.598776,10.9077,5, ,
true,51,3.7566,20.6377,6, ,
true,49,0.0,6.1681,7, ,
true,74,4.136336,10.0394,8, ,
true,67,4.294736,5.3667,9, ,
true,67,4.313072,6.6709,10, ,
true,68,4.476592,6.3722,11, ,
true,67,4.673104,5.2908,12, ,
true,68,5.027712,10.5047,13, ,
true,41,5.184696,2.96,14, ,
true,44,5.218848,3.5268,15, ,
true,41,5.414368,8.7655,16, ,
true,66,5.400832,6.3134,17, ,
true,66,5.536096,6.3259,18, ,
true,50,5.985272,5.9184,19, ,
true,66,6.310424,81.5984,20, ,
true,43,6.309848,17.2686,21, ,
true,65,6.1456,9.6223,22, ,
true,70,6.622056,12.5478,23, ,
true,50,6.963968,7.8828,24, ,
true,43,6.947136,13.6016,25, ,
true,72,7.298224,12.975,26, ,
true,67,7.198504,17.074,27, ,
true,43,7.732384,5.9208,28, ,
true,59,7.870016,10.366,29, ,
true,48,8.156144,9.7754,30, ,
true,46,51.221336,15.9144,31, ,
true,42,8.258968,8.5369,32, ,
true,43,8.889328,10.7731,33, ,
true,49,51.342168,15.531,34, ,
true,66,48.011944,12.088,35, ,
true,73,8.976656,11.3646,36, ,
true,63,45.72608,13.2222,37, ,
true,49,9.138312,9.4634,38, ,
true,78,9.88384,13.4087,39, ,
true,47,9.242656,11.2582,40, ,
true,65,9.770952,12.0731,41, ,
true,60,10.153992,11.9807,42, ,
true,41,10.255448,10.2648,43, ,
true,45,51.239376,17.6671,44, ,
true,37,47.30316,20.3933,45, ,
true,42,50.909504,15.5987,46, ,
true,70,11.188008,15.2025,47, ,
true,60,11.116208,11.4672,48, ,
true,53,44.477248,11.1837,49, ,
true,65,11.288096,10.9213,50, ,
true,39,44.586312,10.7427,51, ,
true,66,41.916432,11.0523,52, ,
true,71,44.958592,13.5299,53, ,
true,68,39.671632,16.2598,54, ,
true,40,44.865256,17.5185,55, ,
true,44,44.279872,17.4912,56, ,
true,42,48.215424,16.4758,57, ,
true,55,13.307728,16.7589,58, ,
true,45,47.540064,14.3277,59, ,
true,67,44.048288,14.0796,60, ,
true,44,48.213376,20.7192,61, ,
true,61,40.378528,15.1693,62, ,
true,74,12.747656,17.0804,63, ,
true,68,13.306672,19.6095,64, ,
true,67,50.063232,19.5877,65, ,
true,62,44.491424,19.402,66, ,
true,69,43.67036,22.2847,67, ,
true,71,44.865192,21.6153,68, ,
true,66,14.648888,17.5693,69, ,
true,48,14.763136,18.456,70, ,
true,64,14.550712,20.7492,71, ,
true,38,41.304664,23.7222,72, ,
true,37,41.910368,25.871,73, ,
true,59,44.96116,23.7811,74, ,
true,49,43.929256,23.5877,75, ,
true,40,39.267408,17.428,76, ,
true,70,44.588648,14.5929,77, ,
true,40,44.496,17.1451,78, ,
true,49,39.351488,21.3483,79, ,
true,64,16.277528,25.9613,80, ,
true,47,45.263248,23.0137,81, ,
true,74,45.726656,71.1058,82, ,
true,43,41.855944,47.7733,83, ,
true,39,50.787808,28.1234,84, ,
true,59,45.413592,25.0568,85, ,
true,65,39.4178,32.6411,86, ,
true,46,41.843224,41.3701,87, ,
true,63,47.595576,26.1949,88, ,
