,Greedy Brute Force,,,,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms),, 
627,TRUE,26,4.013824,301.137,, 
628,TRUE,42,4.013912,246.6483,, 
629,TRUE,47,4.0144,237.7644,, 
630,TRUE,26,3.979968,247.5461,, 
631,TRUE,29,4.014136,225.7539,, 
632,TRUE,25,4.049304,283.3118,, 
633,TRUE,47,4.016464,252.4772,, 
634,TRUE,42,3.981536,354.3824,, 
635,TRUE,47,4.016304,259.9597,, 
636,TRUE,58,4.050504,278.5807,, 
637,TRUE,27,4.018104,215.2267,, 
638,TRUE,25,4.01968,279.0471,, 
639,TRUE,23,4.01708,229.0419,, 
640,TRUE,25,4.0182,308.5518,, 
641,TRUE,24,4.0176,266.3412,, 
642,TRUE,29,4.052336,251.6904,, 
643,TRUE,41,4.019448,297.4183,, 
644,TRUE,23,4.02064,286.1298,, 
645,TRUE,24,4.018416,252.0976,, 
646,TRUE,58,4.054024,244.4263,, 
647,TRUE,43,4.019528,295.8902,, 
648,TRUE,60,4.018336,265.6135,, 
649,TRUE,40,4.05344,298.5418,, 
650,TRUE,41,4.024688,239.6821,, 
651,TRUE,39,3.98492,221.9852,, 
652,TRUE,43,4.053216,261.1675,, 
653,TRUE,64,4.057024,292.9069,, 
654,TRUE,26,4.059496,341.6267,, 
655,TRUE,44,4.058456,276.2235,, 
656,TRUE,41,4.059984,290.6479,, 
657,TRUE,25,4.022624,299.2317,, 
658,TRUE,43,4.056696,251.3816,, 
659,TRUE,42,4.05904,328.8398,, 
660,TRUE,49,4.06076,232.3848,, 
661,TRUE,24,4.024104,254.6239,, 
662,TRUE,42,4.05996,188.8124,, 
663,TRUE,57,4.059928,182.5704,, 
664,TRUE,22,4.059352,230.9341,, 
665,TRUE,47,4.059976,234.4895,, 
666,TRUE,47,4.059552,161.8843,, 
667,TRUE,43,4.060712,237.2678,, 
668,TRUE,45,4.06072,170.5463,, 
669,TRUE,41,4.029784,187.0616,, 
670,TRUE,61,4.027616,203.4909,, 
671,TRUE,43,4.058888,232.1591,, 
672,TRUE,47,4.061304,198.8793,, 
673,TRUE,47,4.06168,180.8157,, 
674,TRUE,46,4.066296,187.4658,, 
675,TRUE,24,4.061688,179.7708,, 
676,TRUE,27,4.064928,183.9895,, 
677,TRUE,26,4.06404,222.4383,, 
678,TRUE,27,4.062864,197.5436,, 
679,TRUE,26,4.09936,247.0164,, 
680,TRUE,61,4.06828,218.2087,, 
681,TRUE,48,4.063512,193.5808,, 
682,TRUE,22,4.064256,193.093,, 
683,TRUE,27,4.064616,196.7696,, 
684,TRUE,62,4.100736,240.3881,, 
685,TRUE,28,4.10632,203.0709,, 
686,TRUE,27,4.034072,182.8878,, 
687,TRUE,25,4.069256,241.1568,, 
688,TRUE,42,4.101856,250.1318,, 
689,TRUE,27,4.10532,261.8638,, 
690,TRUE,25,4.07408,162.7424,, 
691,TRUE,60,4.069512,215.507,, 
692,TRUE,23,4.068568,174.5904,, 
693,TRUE,45,4.1048,196.5515,, 
694,TRUE,47,4.068912,205.9835,, 
695,TRUE,23,4.067304,175.877,, 
696,TRUE,21,4.067872,224.6698,, 
697,TRUE,25,4.069968,218.7532,, 
698,TRUE,41,4.06704,197.1206,, 
699,TRUE,42,4.103488,212.713,, 
700,TRUE,21,4.074656,214.6196,, 
701,TRUE,21,4.069656,241.4181,, 
702,TRUE,23,4.073016,211.7156,, 
703,TRUE,39,4.105264,236.1361,, 
704,TRUE,25,4.107552,185.5751,, 
705,TRUE,29,4.109368,226.7988,, 
706,TRUE,44,4.072888,215.7151,, 
707,TRUE,41,4.070896,304.6668,, 
708,TRUE,46,4.106136,281.2268,, 
709,TRUE,27,4.07284,211.6984,, 
710,TRUE,25,4.0708,277.009,, 
711,TRUE,20,4.074816,221.3927,, 
712,TRUE,28,4.106704,231.1075,, 
713,TRUE,42,4.110608,168.6043,, 
714,TRUE,39,4.147848,227.6997,, 
715,TRUE,26,4.113824,256.4902,, 
716,TRUE,41,4.11244,233.9766,, 
717,TRUE,46,4.075864,203.5711,, 
718,TRUE,45,4.074208,237.8411,, 
719,TRUE,44,4.110168,377.5575,, 
720,TRUE,35,4.112312,349.8363,, 
721,TRUE,27,4.116936,375.3917,, 
722,TRUE,24,4.113424,489.1517,, 
723,TRUE,22,4.113472,270.5132,, 
724,TRUE,28,4.11548,330.3835,, 
725,TRUE,26,4.115856,342.9264,, 
726,TRUE,28,4.153456,371.6371,, 
727,TRUE,46,4.11948,338.1221,, 
728,TRUE,28,4.118616,346.7057,, 
729,TRUE,46,4.120152,312.6018,, 
730,TRUE,39,4.154856,261.9268,, 
731,TRUE,28,4.118392,351.5508,, 
732,TRUE,47,4.15496,271.9939,, 
733,TRUE,48,4.158168,302.0073,, 
734,TRUE,47,4.120736,266.3868,, 
735,TRUE,43,4.118624,325.1942,, 
736,TRUE,61,4.117032,227.5278,, 
737,TRUE,44,4.118528,289.0172,, 
738,TRUE,40,4.120984,248.8948,, 
739,TRUE,40,4.117976,277.8705,, 
740,TRUE,24,4.119304,295.2887,, 
741,TRUE,40,4.154736,243.5761,, 
742,TRUE,46,4.161312,244.4835,, 
743,TRUE,42,4.126472,285.4684,, 
744,TRUE,27,4.12048,299.8048,, 
745,TRUE,23,4.157664,264.3082,, 
746,TRUE,26,4.163008,302.6446,, 
747,TRUE,45,4.123432,258.2484,, 
748,TRUE,40,4.161328,241.4082,, 
749,TRUE,40,4.123896,303.3632,, 
750,TRUE,43,4.121432,310.6537,, 
751,TRUE,44,4.121824,216.6515,, 
752,TRUE,26,4.160616,260.5288,, 
753,TRUE,44,4.125152,261.8656,, 
754,TRUE,47,4.122472,268.2533,, 
755,TRUE,44,4.159768,210.8946,, 
756,TRUE,44,4.163592,167.8113,, 
757,TRUE,25,4.165544,198.0085,, 
758,TRUE,45,4.164608,202.0033,, 
759,TRUE,25,4.126888,220.7298,, 
760,TRUE,43,4.162544,193.3419,, 
761,TRUE,44,4.12752,195.347,, 
762,TRUE,23,4.167824,184.8975,, 
763,TRUE,25,4.131856,170.9,, 
764,TRUE,41,4.166688,208.3527,, 
765,TRUE,26,4.17104,238.9403,, 
766,TRUE,27,4.16664,195.2719,, 
767,TRUE,26,4.168312,203.1522,, 
768,TRUE,42,4.173888,212.9948,, 
769,TRUE,41,4.169416,222.275,, 
770,TRUE,48,4.168888,164.75,, 
771,TRUE,47,4.17448,191.01,, 
772,TRUE,40,4.17548,244.4962,, 
773,TRUE,41,4.211672,188.1008,, 
774,TRUE,25,4.215832,197.1427,, 
775,TRUE,43,4.179656,174.9815,, 
776,TRUE,28,4.213384,221.0653,, 
777,TRUE,25,4.176088,204.3711,, 
778,TRUE,30,4.175944,217.4539,, 
779,TRUE,27,4.178816,201.9097,, 
780,TRUE,25,4.178224,223.598,, 
781,TRUE,27,4.214808,203.0144,, 
782,TRUE,24,4.218728,220.4084,, 
783,TRUE,24,4.178184,238.4924,, 
784,TRUE,39,4.214168,221.9252,, 
785,TRUE,42,4.17856,219.042,, 
786,TRUE,23,4.180872,217.1425,, 
787,TRUE,42,4.217264,210.1292,, 
788,TRUE,43,4.180392,195.7342,, 
789,TRUE,38,4.21588,229.8853,, 
790,TRUE,49,4.225144,164.5136,, 
791,TRUE,60,4.183552,184.0049,, 
792,TRUE,46,4.215376,207.1427,, 
793,TRUE,26,4.180088,224.5565,, 
794,TRUE,42,4.183552,209.7022,, 
795,TRUE,42,4.218944,214.3897,, 
796,TRUE,41,4.182224,190.0782,, 
797,TRUE,64,4.226344,218.4757,, 
798,TRUE,61,4.229416,207.7208,, 
799,TRUE,54,4.222768,221.0874,, 
800,TRUE,30,4.230256,274.4668,, 
801,TRUE,25,4.221848,215.0992,, 
802,TRUE,46,4.18696,222.6004,, 
803,TRUE,40,4.228584,284.5716,, 
804,TRUE,25,4.18316,258.6762,, 
805,TRUE,63,4.25924,307.4426,, 
806,TRUE,60,4.22516,305.8626,, 
807,TRUE,43,4.235736,262.3769,, 
808,TRUE,42,4.228912,253.6678,, 
809,TRUE,29,4.266408,262.8503,, 
810,TRUE,37,4.236248,230.0406,, 
811,TRUE,62,4.227672,283.238,, 
812,TRUE,46,4.226184,264.3638,, 
813,TRUE,42,4.226184,288.0091,, 
814,TRUE,43,4.190584,291.241,, 
815,TRUE,61,4.224488,292.2643,, 
816,TRUE,23,4.23512,282.03,, 
817,TRUE,49,4.229216,238.4315,, 
818,TRUE,26,4.229264,289.9128,, 
819,TRUE,45,4.27028,288.8444,, 
820,TRUE,24,4.235248,318.0086,, 
821,TRUE,26,4.270208,307.5464,, 
822,TRUE,43,4.242832,280.1778,, 
823,TRUE,45,4.231984,277.1541,, 
824,TRUE,20,4.230312,267.4817,, 
825,TRUE,22,4.274336,278.8325,, 
826,TRUE,40,4.287248,254.1453,, 
827,TRUE,26,4.281904,211.974,, 
828,TRUE,27,4.28036,242.985,, 
829,TRUE,62,4.247832,202.9772,, 
830,TRUE,29,4.279352,234.6538,, 
831,TRUE,47,4.241024,239.1738,, 
832,TRUE,41,4.286232,252.4809,, 
833,TRUE,46,4.289416,235.4422,, 
834,TRUE,47,4.241072,229.2779,, 
835,TRUE,26,4.279744,184.8585,, 
836,TRUE,42,4.24512,231.1438,, 
837,TRUE,43,4.278776,229.9028,, 
838,TRUE,43,4.286528,251.6528,, 
839,TRUE,43,4.241952,244.5655,, 
840,TRUE,23,4.288632,227.2108,, 
841,TRUE,25,4.284656,213.9232,, 
842,TRUE,29,4.242752,234.1762,, 
843,TRUE,22,4.288208,231.1503,, 
844,TRUE,25,4.242816,208.6636,, 
845,TRUE,43,4.280216,181.4007,, 
846,TRUE,27,4.283672,207.9547,, 
847,TRUE,21,4.286512,214.4619,, 
848,TRUE,43,4.332024,256.4153,, 
849,TRUE,44,4.293576,216.8217,, 
850,TRUE,23,4.299704,245.3674,, 
851,TRUE,42,4.295704,286.6122,, 
852,TRUE,28,4.33312,252.1358,, 
853,TRUE,23,4.251736,209.5409,, 
854,TRUE,39,4.296288,225.4347,, 
855,TRUE,45,4.2912,243.8737,, 
856,TRUE,24,4.29776,237.9189,, 
857,TRUE,28,4.30296,204.4408,, 
858,TRUE,45,4.24984,247.3434,, 
859,TRUE,25,4.286232,232.6399,, 
860,TRUE,21,4.289568,222.883,, 
861,TRUE,41,4.290608,264.1786,, 
862,TRUE,25,4.290088,237.3649,, 
863,TRUE,56,4.290784,218.9761,, 
864,TRUE,27,4.333552,284.3271,, 
865,TRUE,46,4.297,283.8083,, 
866,TRUE,43,4.294136,242.3017,, 
867,TRUE,25,4.295088,227.1231,, 
868,TRUE,25,4.305104,183.9085,, 
869,TRUE,57,4.296672,251.1936,, 
870,TRUE,61,4.294752,240.5648,, 
871,TRUE,42,4.338336,258.7796,, 
872,TRUE,37,4.309256,285.3235,, 
873,TRUE,28,4.299,225.243,, 
874,TRUE,24,4.299864,188.3765,, 
875,TRUE,43,4.297816,196.5607,, 
876,TRUE,26,4.30104,301.523,, 
877,TRUE,26,4.336128,215.1248,, 
878,TRUE,27,4.300336,200.6296,, 
879,TRUE,40,4.296832,217.6767,, 
880,TRUE,47,4.3398,258.9381,, 
881,TRUE,25,4.304344,224.4868,, 
882,TRUE,23,4.343616,240.6742,, 
883,TRUE,23,4.30296,239.9713,, 
884,TRUE,23,4.343352,236.3211,, 
885,TRUE,26,4.31384,244.1285,, 
886,TRUE,49,4.34324,192.8963,, 
887,TRUE,28,4.353936,251.6909,, 
888,TRUE,46,4.346824,261.464,, 
889,TRUE,25,4.309752,244.3324,, 
890,TRUE,39,4.305552,270.2439,, 
891,TRUE,42,4.301248,240.2174,, 
892,TRUE,42,4.346144,235.0353,, 
893,TRUE,45,4.347816,202.633,, 
894,TRUE,47,4.349256,231.4148,, 
895,TRUE,42,4.349432,273.8924,, 
896,TRUE,58,4.35836,238.3004,, 
897,TRUE,24,4.312632,211.9166,, 
898,TRUE,27,4.348104,213.2297,, 
899,TRUE,28,4.351048,259.7553,, 
900,TRUE,28,4.351104,227.9376,, 
901,TRUE,45,4.350448,236.8717,, 
902,TRUE,26,4.350616,266.8324,, 
903,TRUE,27,4.307536,258.1345,, 
904,TRUE,48,4.346488,209.1161,, 
905,TRUE,46,4.394088,209.5619,, 
906,TRUE,44,4.364968,191.5331,, 
907,TRUE,48,4.364584,280.1252,, 
908,TRUE,43,4.312784,251.3392,, 
909,TRUE,42,4.350992,279.2001,, 
910,TRUE,47,4.358216,224.4655,, 
911,TRUE,44,4.399568,277.0665,, 
912,TRUE,46,4.370128,242.1623,, 
913,TRUE,46,4.366536,279.5844,, 
914,TRUE,24,4.360176,259.822,, 
915,TRUE,57,4.36516,281.8268,, 
916,TRUE,40,4.359096,225.0718,, 
917,TRUE,47,4.36028,246.9438,, 
918,TRUE,25,4.369496,208.3241,, 
919,TRUE,44,4.369,257.3731,, 
920,TRUE,43,4.361232,307.6277,, 
921,TRUE,29,4.362176,272.9698,, 
922,TRUE,27,4.363464,241.2004,, 
923,TRUE,46,4.321336,225.2407,, 
924,TRUE,39,4.369504,320.2494,, 
925,TRUE,23,4.371288,199.722,, 
926,TRUE,27,4.363176,254.3164,, 
927,TRUE,43,4.365088,292.6257,, 
928,TRUE,23,4.362968,257.4643,, 
929,TRUE,42,4.366248,238.0273,, 
930,TRUE,43,4.363688,236.3569,, 
931,TRUE,61,4.371496,279.5004,, 
932,TRUE,22,4.370664,230.3181,, 
933,TRUE,46,4.371072,251.3768,, 
934,TRUE,46,4.412704,259.6443,, 
935,TRUE,58,4.366368,217.5341,, 
936,TRUE,62,4.364568,252.1072,, 
937,TRUE,45,4.36584,228.7209,, 
938,TRUE,42,4.406216,240.0754,, 
939,TRUE,25,4.370528,256.5352,, 
940,TRUE,40,4.36564,242.2327,, 
941,TRUE,27,4.453336,238.3315,, 
942,TRUE,43,4.388456,207.9732,, 
943,TRUE,24,4.417064,271.7478,, 
944,TRUE,24,4.374208,285.3642,, 
945,TRUE,27,4.374672,253.4987,, 
946,TRUE,29,4.372264,276.8314,, 
947,TRUE,23,4.426112,283.4592,, 
948,TRUE,25,4.377576,293.8963,, 
949,TRUE,24,4.461288,253.279,, 
950,TRUE,60,4.382152,233.1434,, 
951,TRUE,43,4.421856,316.3563,, 
952,TRUE,46,4.378968,281.0707,, 
953,TRUE,40,4.423208,290.2907,, 
954,TRUE,26,4.42616,290.9445,, 
955,TRUE,27,4.38036,274.195,, 
956,TRUE,42,4.419704,236.7905,, 
957,TRUE,45,4.42856,255.7248,, 
958,TRUE,44,4.379656,229.837,, 
959,TRUE,60,4.423112,237.4313,, 
960,TRUE,46,4.438248,290.6906,, 
961,TRUE,41,4.385128,260.5932,, 
962,TRUE,43,4.380224,242.732,, 
963,TRUE,25,4.377808,244.2091,, 
964,TRUE,60,4.379848,276.1797,, 
965,TRUE,26,4.379104,238.7612,, 
966,TRUE,42,4.374064,251.0146,, 
967,TRUE,28,4.417328,273.7001,, 
968,TRUE,26,4.467448,266.7139,, 
969,TRUE,45,4.44168,232.6154,, 
970,TRUE,21,4.432744,302.1329,, 
971,TRUE,42,4.443224,263.0913,, 
972,TRUE,45,4.443736,241.5553,, 
973,TRUE,44,4.389472,278.5872,, 
974,TRUE,58,4.471848,295.3565,, 
975,TRUE,43,4.487656,308.8761,, 
976,TRUE,43,4.391936,249.8494,, 
977,TRUE,46,4.430792,288.4187,, 
978,TRUE,43,4.433848,239.6742,, 
979,TRUE,59,4.432664,275.8403,, 
980,TRUE,42,4.431528,282.3024,, 
981,TRUE,42,4.438936,302.9047,, 
982,TRUE,45,4.433704,244.4588,, 
983,TRUE,64,4.432504,297.0429,, 
984,TRUE,38,4.439344,320.3464,, 
985,TRUE,29,4.435528,400.6511,, 
986,TRUE,27,4.434184,365.7782,, 
987,TRUE,41,4.481824,219.4036,, 
988,TRUE,25,4.441936,311.2654,, 
989,TRUE,24,4.442992,240.1638,, 
990,TRUE,44,4.442856,300.0922,, 
991,TRUE,24,4.442392,276.2824,, 
992,TRUE,21,4.441824,287.4451,, 
993,TRUE,41,4.495904,281.5862,, 
994,TRUE,46,4.447944,233.5095,, 
995,TRUE,26,4.44372,206.4999,, 
996,TRUE,42,4.44328,266.5462,, 
997,TRUE,29,4.486488,359.834,, 
998,TRUE,26,4.454408,262.2259,, 
999,TRUE,45,4.443696,277.9208,, 
1000,TRUE,26,4.394288,276.312,, 
,,,,,,
,,,,,,
,The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:50  Individuals:50 (Ignore for the specified parameter).,,,,,
