CSP (Randomised Optimisation),,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, , Start, Modelled, Solved, Decoded,
true,65,36.244792,3289.2052,64, ,38335.749099,38405.9612,41624.7628,41624.9058,
true,61,39.836224,2270.6227,65, ,41634.288199,41715.0511,43904.699899,43904.8536,
false,-1,27.570536,61.545901,66, ,43912.7945,43973.5379,43974.2517,43974.288899,
false,-1,32.862264,52.3341,67, ,43981.0306,44032.698499,44033.3154,44033.339099,
false,-1,33.268496,58.6887,68, ,44040.4356,44098.1731,44099.061199,44099.092999,
true,61,37.900176,2645.146301,69, ,44106.4989,44169.661,46751.3105,46751.5797,
true,60,39.017552,2174.908699,70, ,46768.9714,46922.1787,48943.641999,48943.757399,
false,-1,29.405672,70.255199,71, ,48952.322599,49021.209,49022.5186,49022.545699,
true,60,39.046064,3189.206501,72, ,49029.7084,49091.7762,52218.698299,52218.8758,
false,-1,29.730928,66.551,73, ,52227.557,52292.971299,52293.992399,52294.072499,
false,-1,28.746376,65.0675,74, ,52301.2987,52365.6003,52366.3162,52366.3421,
false,-1,30.65772,72.381701,75, ,52373.2735,52444.4536,52445.5701,52445.6128,
false,-1,29.43316,96.0985,76, ,52454.7314,52549.2902,52550.7259,52550.765899,
true,38,45.897496,3339.6103,77, ,52561.3363,52672.7652,55900.7299,55900.8516,
false,-1,30.916328,67.6184,78, ,55910.5753,55977.0375,55978.130599,55978.1799,
true,36,38.13168,3248.3186,79, ,55987.1591,56081.9746,59235.3207,59235.4379,
false,-1,29.257024,53.771599,80, ,59243.7573,59296.6213,59297.4861,59297.5117,
false,-1,27.205096,77.072799,81, ,59305.411899,59381.5248,59382.38,59382.4648,
false,-1,29.012768,73.268301,82, ,59390.785099,59463.1318,59464.0039,59464.0355,
false,-1,28.890488,79.9408,83, ,59471.642,59550.3523,59551.487999,59551.5511,
true,60,38.930608,3214.374,84, ,59562.2024,59633.474,62776.3779,62776.5321,
true,62,49.241872,3344.338699,85, ,62786.1611,62869.4597,66130.3264,66130.4621,
false,-1,29.646632,84.1428,86, ,66139.8469,66223.1769,66223.9464,66223.9707,
false,-1,30.325376,92.4072,87, ,66231.1601,66322.1164,66323.496999,66323.5368,
true,35,47.38028,5371.059299,88, ,66332.1921,66434.1214,71703.0734,71703.2194,
false,-1,32.643528,96.5125,89, ,71712.4534,71806.3395,71808.911799,71808.9447,
false,-1,41.413424,98.2563,90, ,71816.9811,71913.666,71915.1811,71915.2216,
false,-1,29.966712,86.676099,91, ,71926.9872,72012.788499,72013.615,72013.644699,
false,-1,44.18368,115.7902,92, ,72023.6064,72137.34,72139.2915,72139.376699,
true,38,46.933352,4792.2151,93, ,72151.0209,72251.2066,76943.04,76943.2028,
false,-1,34.086928,108.398,94, ,76952.9867,77060.512,77061.3499,77061.3677,
true,37,46.695256,5124.8959,95, ,77069.1799,77150.052299,82193.928099,82194.0432,
false,-1,37.417288,100.2263,96, ,82202.9806,82302.3294,82303.168599,82303.1862,
true,57,47.232936,4451.223101,97, ,82311.0903,82416.3596,86762.163399,86762.2798,
true,61,47.857824,5245.462099,98, ,86771.3728,86874.6599,92016.6796,92016.7956,
true,37,48.189992,4164.913899,99, ,92025.8677,92140.9432,96190.5741,96190.752299,
false,-1,39.166952,76.1767,100, ,96199.8697,96275.3603,96276.021,96276.0347,

,,,,,,,69.228808,883.040748,0.184156,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:50  Individuals:50 (Ignore for the specified parameter).
