Brute Force (Greedy Optimised),,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,68,4.889496,7.5508,45, ,
true,60,4.712104,4.7051,45, ,
true,66,4.446512,3.5882,45, ,
true,64,6.804432,8.9614,46, ,
true,56,5.354464,5.6274,46, ,
true,63,4.430896,3.879,46, ,
true,60,6.187856,6.5291,46, ,
true,56,5.668848,6.5504,47, ,
true,69,5.1814,5.482,47, ,
true,67,5.07648,8.8477,47, ,
true,67,5.589664,5.8842,47, ,
true,71,5.95264,6.8147,48, ,
true,54,5.675888,6.513,48, ,
true,61,7.570768,9.611,48, ,
true,63,7.773256,15.4788,48, ,
true,66,6.07328,13.6214,49, ,
true,67,5.86672,6.7616,49, ,
true,67,4.574344,3.927,49, ,
true,65,5.081312,6.0989,49, ,
true,68,4.192328,3.4408,50, ,
true,62,6.116064,9.077,50, ,
true,67,6.292944,6.8037,50, ,
true,69,6.123832,7.5673,50, ,
true,61,5.427816,5.4011,51, ,
true,64,4.721144,4.1584,51, ,
true,62,3.833984,2.6504,51, ,
true,71,4.715248,8.2281,51, ,
true,65,4.38092,3.3995,52, ,
true,65,5.030192,9.1717,52, ,
true,66,5.434736,6.3692,52, ,
true,68,5.485688,5.6999,52, ,
true,67,4.80868,4.823,53, ,
true,61,5.381424,5.4378,53, ,
true,58,6.11476,13.1077,53, ,
true,58,6.815248,8.2043,53, ,
true,60,5.40896,5.8018,54, ,
true,61,4.297248,3.8658,54, ,
true,69,6.21612,7.6668,54, ,
true,57,7.35784,9.4668,54, ,
true,62,4.905848,4.697,55, ,
true,57,6.460336,7.8891,55, ,
true,68,4.811248,4.9731,55, ,
true,70,5.140376,6.2719,55, ,
true,60,4.628976,4.9011,56, ,
true,61,5.935576,12.6664,56, ,
true,68,4.59332,4.0744,56, ,
true,61,6.185224,7.2721,56, ,
true,62,4.619048,4.3952,57, ,
true,67,5.409048,6.2883,57, ,
true,55,6.12456,7.035,57, ,
true,70,4.557752,4.4698,57, ,
true,70,4.629096,8.9093,58, ,
true,72,4.897304,8.1327,58, ,
true,52,5.30768,6.0805,58, ,
true,60,4.980608,5.1017,58, ,
true,59,5.392824,9.9385,59, ,
true,58,6.556816,8.7489,59, ,
true,67,5.863408,7.2469,59, ,
true,57,6.033672,13.3219,59, ,
true,55,5.943464,7.31,60, ,
true,67,5.67004,6.6453,60, ,
true,53,5.865736,8.2057,60, ,
true,59,5.857144,10.9502,60, ,
true,64,7.77572,17.2169,61, ,
true,62,5.094096,6.0613,61, ,
true,59,4.630096,5.2098,61, ,
true,58,4.72052,5.8611,61, ,
true,69,5.290856,10.3162,62, ,
true,65,5.057128,7.8723,62, ,
true,63,6.185,7.9629,62, ,
true,69,5.667672,6.9857,62, ,
true,66,4.72364,9.4262,63, ,
true,67,5.052576,5.9529,63, ,
true,65,4.414064,4.5045,63, ,
true,62,4.497552,4.2815,63, ,
true,59,7.145072,9.4146,64, ,
true,64,5.7666,13.5451,64, ,
true,61,7.313056,15.2264,64, ,
true,65,3.845648,3.0461,64, ,
true,68,4.807096,5.5445,65, ,
true,62,5.929568,7.3784,65, ,
true,66,4.715704,8.0317,65, ,
true,67,4.868112,5.9746,65, ,
true,69,5.990432,7.3333,66, ,
true,68,4.546144,4.1859,66, ,
true,66,5.434632,7.04,66, ,
true,56,4.717808,4.7255,66, ,
true,70,4.712944,5.1994,67, ,
true,57,5.169264,6.5047,67, ,
true,69,5.436176,7.0492,67, ,
true,70,6.1948,8.4017,67, ,
true,70,4.806896,7.6635,68, ,
true,69,4.079656,3.7861,68, ,
true,67,5.457616,6.41,68, ,
true,65,4.107744,3.382,68, ,
true,58,6.99144,11.3441,69, ,
true,51,6.905544,10.4213,69, ,
true,65,5.242488,6.6048,69, ,
true,55,6.725312,12.1667,69, ,
true,60,5.465864,12.8797,70, ,
true,66,5.383552,6.48,70, ,
true,62,3.863696,4.4591,70, ,
true,66,5.562736,8.9967,70, ,
true,59,5.67768,9.0864,71, ,
true,70,3.582512,2.93,71, ,
true,68,4.070576,3.4283,71, ,
true,63,4.557632,3.8649,71, ,
true,66,5.313592,7.2661,72, ,
true,67,4.251128,4.3202,72, ,
true,67,4.2514,6.7371,72, ,
true,68,5.204712,5.8123,72, ,
true,66,5.679664,7.5047,73, ,
true,56,5.11624,6.2924,73, ,
true,68,4.908872,9.8714,73, ,
true,68,5.855016,7.6142,73, ,
true,65,5.140192,6.6929,74, ,
true,61,4.802728,5.5914,74, ,
true,56,6.573472,9.9689,74, ,
true,58,4.283464,3.9864,74, ,
true,62,5.680056,8.0676,75, ,
true,68,5.097392,12.1237,75, ,
