Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,58,4.699696,3.4551,4, ,
true,59,2.334936,0.4625,4, ,
true,43,2.166064,0.6044,4, ,
true,63,2.208016,0.5972,4, ,
true,62,2.166128,0.5901,5, ,
true,58,2.166296,0.7831,5, ,
true,63,2.208312,0.3662,5, ,
true,49,2.166464,0.6623,5, ,
true,57,2.20848,0.6041,6, ,
true,61,2.166704,0.7311,6, ,
true,59,2.166768,0.2226,6, ,
true,57,2.166728,0.2353,6, ,
true,54,2.208992,0.3911,7, ,
true,58,2.1672,0.3477,7, ,
true,55,2.1672,0.4045,7, ,
true,65,2.1672,0.3579,7, ,
true,54,2.167968,0.3511,8, ,
true,52,2.168024,0.3491,8, ,
true,56,2.1682,0.3982,8, ,
true,60,2.168112,0.3913,8, ,
true,56,2.168136,0.5151,9, ,
true,54,2.168288,0.5236,9, ,
true,71,2.168288,0.3633,9, ,
true,52,2.168288,0.3781,9, ,
true,39,2.16824,0.3469,10, ,
true,60,2.168488,0.4163,10, ,
true,65,2.168656,0.4411,10, ,
true,59,2.168712,0.5488,10, ,
true,46,2.168648,0.4311,11, ,
true,64,2.21084,0.5427,11, ,
true,50,2.168736,0.4006,11, ,
true,48,2.169088,0.352,11, ,
true,52,2.169888,0.4018,12, ,
true,51,2.16988,0.4852,12, ,
true,57,2.169928,0.3747,12, ,
true,42,2.169816,0.2268,12, ,
true,62,2.16984,0.3519,13, ,
true,42,2.169984,0.4974,13, ,
true,56,2.170048,0.2945,13, ,
true,57,2.170112,0.2897,13, ,
true,59,2.169944,0.3202,14, ,
false,-1,2.21196,1.1498,14, ,
true,63,2.16436,0.3421,14, ,
true,56,2.168,0.3075,14, ,
true,61,2.168016,0.208,15, ,
true,55,2.1684,0.3902,15, ,
true,60,2.168176,0.3588,15, ,
true,49,2.168336,0.2089,15, ,
true,58,2.16812,1.1081,16, ,
true,65,2.168424,0.2781,16, ,
true,60,2.210328,0.3491,16, ,
true,57,2.169408,0.1771,16, ,
true,49,2.169184,0.3414,17, ,
true,57,2.169176,0.1719,17, ,
true,46,2.169232,0.1689,17, ,
true,54,2.21148,0.1412,17, ,
true,67,2.169568,0.1548,18, ,
true,51,2.169808,0.2851,18, ,
false,-1,2.169904,0.234,18, ,
true,67,2.165896,0.1657,18, ,
true,58,2.169512,0.1191,19, ,
true,55,2.170032,0.2201,19, ,
true,60,2.170072,0.1388,19, ,
false,-1,2.170072,0.2027,19, ,
true,46,2.166136,0.151,20, ,
true,48,2.170208,0.2607,20, ,
true,64,2.17092,0.1963,20, ,
true,48,2.171112,0.1806,20, ,
true,49,0.0,0.1478,21, ,
true,59,2.173912,0.1119,21, ,
true,63,2.174016,0.1336,21, ,
true,57,2.174136,0.2103,21, ,
true,56,2.174128,0.2185,22, ,
true,63,2.174296,0.1988,22, ,
true,54,2.174184,0.1929,22, ,
true,60,2.17452,0.2457,22, ,
true,48,2.17408,0.1577,23, ,
true,59,0.0,0.1263,23, ,
true,57,2.174632,0.1827,23, ,
true,58,2.174576,0.1683,23, ,
true,58,0.0,0.1259,24, ,
true,62,2.17476,0.1573,24, ,
true,52,2.174608,0.256,24, ,
true,51,2.174608,0.1281,24, ,
true,52,2.216528,0.1289,25, ,
false,-1,2.174712,0.2707,25, ,
true,47,0.0,0.1548,25, ,
true,49,2.216688,0.2419,25, ,
true,52,2.216872,0.2455,26, ,
true,57,2.216992,0.2366,26, ,
true,59,0.0,0.1224,26, ,
true,63,2.216984,0.1739,26, ,
true,55,2.216992,0.2335,27, ,
